sy_snum,sy_pnum,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_radv
1,1,,6198.00,1.25,1.16,0.020,[Fe/H],0.221,4.30,2.880,1.32431,,
1,1,,4967.00,0.76,0.80,0.010,[Fe/H],-0.454,4.59,4.370,3.80666,,
1,1,,5541.00,0.90,0.93,0.010,[Fe/H],-0.156,4.50,4.570,1.97455,,
1,1,,5337.00,0.82,0.86,-0.090,[Fe/H],-0.379,4.55,4.070,6.01530,,
1,1,,5472.00,0.90,0.94,0.120,[Fe/H],-0.258,4.50,4.570,4.01964,,
1,1,,6386.00,1.48,1.30,0.050,[Fe/H],0.584,4.21,2.140,0.73308,,
1,1,,6564.00,1.57,1.40,0.220,[Fe/H],0.447,4.20,1.620,0.48500,,
1,3,,4984.00,0.64,0.84,-0.460,[Fe/H],-0.467,4.67,1.820,2.23727,,
1,3,,4984.00,0.64,0.84,-0.460,[Fe/H],-0.467,4.67,1.820,0.44622,,
1,3,,4984.00,0.64,0.84,-0.460,[Fe/H],-0.467,4.67,1.820,0.07455,,
1,1,,5682.00,0.96,0.98,0.040,[Fe/H],0.223,4.47,4.070,3.35225,,
1,1,,5261.00,0.80,0.84,-0.090,[Fe/H],-0.324,4.56,4.680,1.47924,,
1,1,,4895.00,0.74,0.77,-0.050,[Fe/H],-0.516,4.60,5.620,4.07205,,
1,1,,5667.00,0.94,0.96,0.010,[Fe/H],-0.244,4.48,4.370,1.56166,,
1,1,,6680.00,1.77,1.46,0.050,[Fe/H],1.032,4.10,1.700,0.11781,,4.72
1,2,,5306.00,0.83,0.86,-0.010,[Fe/H],-0.411,4.55,4.570,3.05943,,
1,2,,5306.00,0.83,0.86,-0.010,[Fe/H],-0.411,4.55,4.570,4.05093,,
1,1,,4611.00,0.69,0.73,-0.030,[Fe/H],-0.727,4.63,3.890,0.11476,,
1,1,,5303.00,0.82,0.86,-0.050,[Fe/H],-0.345,4.55,4.680,7.43092,,
1,1,,6149.00,1.21,1.21,0.240,[Fe/H],0.276,4.36,1.510,0.90781,,
1,1,,6202.00,1.28,1.19,0.060,[Fe/H],0.428,4.29,2.820,0.67505,,
1,2,M1 V,3810.00,0.51,0.54,-0.140,[Fe/H],-1.328,4.74,13.500,4.68232,,
1,2,M1 V,3810.00,0.51,0.54,-0.140,[Fe/H],-1.328,4.74,13.500,4.68232,,
1,1,,5717.00,0.98,0.99,0.040,[Fe/H],0.343,4.46,4.570,8.08759,,
1,1,,5545.00,0.89,0.92,-0.040,[Fe/H],-0.153,4.51,4.790,6.65298,,
1,1,,5949.00,1.09,1.06,0.030,[Fe/H],-0.130,4.38,3.890,1.52219,,
1,1,,5850.00,1.10,0.97,-0.140,[Fe/H],0.345,4.33,7.080,0.38914,,-44.55
1,3,,4985.00,0.75,0.78,-0.100,[Fe/H],-0.572,4.59,5.620,4.55362,,
1,3,,4985.00,0.75,0.78,-0.100,[Fe/H],-0.572,4.59,5.620,3.32192,,
1,3,,4985.00,0.75,0.78,-0.100,[Fe/H],-0.572,4.59,5.620,3.31866,,
1,1,,6018.00,1.12,1.08,0.020,[Fe/H],0.307,4.37,3.550,0.53968,,
1,1,,6129.00,1.36,1.17,0.050,[Fe/H],0.428,4.23,3.720,0.57834,,
1,1,,5502.00,0.87,0.90,-0.090,[Fe/H],-0.136,4.52,4.370,1.42361,,
1,1,,5839.00,0.99,0.99,-0.070,[Fe/H],0.094,4.45,3.890,1.17376,,
1,1,,5053.00,0.77,0.80,-0.070,[Fe/H],-0.333,4.58,5.250,4.30442,,
1,3,,6239.00,1.36,1.18,-0.070,[Fe/H],0.452,4.25,3.390,0.55661,,-20.74
1,3,,6239.00,1.36,1.18,-0.070,[Fe/H],0.452,4.25,3.390,0.55661,,-20.74
1,3,,6239.00,1.36,1.18,-0.070,[Fe/H],0.452,4.25,3.390,0.71931,,-20.74
1,1,,5961.00,1.08,1.06,0.010,[Fe/H],0.526,4.39,3.800,0.13337,,
1,1,,5006.00,0.77,0.82,0.030,[Fe/H],-0.523,4.58,4.470,7.26483,,
1,1,,5771.00,0.98,0.99,-0.020,[Fe/H],-0.105,4.45,4.270,3.11474,,
1,1,,5213.00,0.80,0.84,-0.030,[Fe/H],-0.414,4.56,4.900,2.45318,,
1,1,,5791.00,0.98,0.99,-0.020,[Fe/H],-0.055,4.45,4.170,3.41073,,
1,1,,4630.00,0.69,0.71,-0.100,[Fe/H],-0.700,4.63,5.250,4.27014,,
1,1,,5044.00,0.76,0.80,-0.070,[Fe/H],-0.530,4.59,5.130,0.36789,,
1,1,,6096.00,1.20,1.15,0.070,[Fe/H],0.003,4.33,3.240,1.52999,,
1,1,,5904.00,1.09,1.06,0.050,[Fe/H],0.345,4.38,4.270,0.93341,,
1,1,,5998.00,1.15,1.10,0.070,[Fe/H],0.556,4.36,3.550,0.84302,,
1,3,,6106.00,1.36,1.27,0.214,[M/H],0.407,4.26,2.630,0.52724,,-21.16
1,3,,6106.00,1.36,1.27,0.214,[M/H],0.407,4.26,2.630,0.73021,,-21.16
1,3,,6106.00,1.36,1.27,0.214,[M/H],0.407,4.26,2.630,0.52724,,-21.16
1,1,,5047.00,3.38,1.28,-0.020,[Fe/H],0.713,3.49,4.370,0.04387,,15.29
1,1,,6143.00,1.23,1.13,-0.010,[Fe/H],0.219,4.31,3.630,0.97998,,
1,1,,5926.00,1.09,1.06,0.060,[Fe/H],0.370,4.39,3.890,0.61921,,
1,1,,5566.00,0.91,0.94,0.030,[Fe/H],-0.305,4.50,4.470,2.74306,,
1,1,,6179.00,2.17,1.45,0.110,[Fe/H],0.798,3.93,2.880,0.12110,,-8.57
1,1,,6296.00,1.36,1.23,0.040,[Fe/H],0.315,4.26,2.510,3.17374,,
1,1,,6188.00,1.21,1.14,-0.020,[Fe/H],0.220,4.33,3.090,1.30364,,-33.36
1,1,,5578.00,0.92,0.94,-0.010,[Fe/H],-0.199,4.49,5.010,2.40742,,
1,1,,6074.00,1.16,1.11,0.020,[Fe/H],0.366,4.35,3.310,1.31343,,
1,1,,6221.00,1.33,1.21,0.060,[Fe/H],0.693,4.26,2.820,0.66996,,
1,2,,6136.00,1.61,1.09,0.000,[Fe/H],0.575,4.07,4.070,0.30178,,-21.30
1,2,,6136.00,1.61,1.09,0.000,[Fe/H],0.575,4.07,4.070,0.30178,,-21.30
1,1,,6227.00,1.32,1.20,0.040,[Fe/H],0.679,4.28,2.820,0.45399,,
1,1,,5353.00,0.83,0.87,-0.040,[Fe/H],-0.292,4.55,4.370,2.44249,,
1,1,,5504.00,0.89,0.92,0.010,[Fe/H],-0.183,4.51,4.570,3.01046,,
1,1,,6175.00,1.25,1.16,0.040,[Fe/H],0.927,4.31,2.880,0.12756,,
1,1,,5123.00,0.79,0.84,0.030,[Fe/H],-0.395,4.57,4.470,2.93951,,
1,1,,6170.00,1.28,1.20,0.160,[Fe/H],0.481,4.30,2.750,0.39075,,-3.72
1,1,,5753.00,0.98,1.00,0.030,[Fe/H],0.128,4.45,4.170,0.98366,,
1,1,,5715.00,0.94,0.96,-0.050,[Fe/H],-0.091,4.48,4.070,4.79022,,
1,1,,6132.00,1.29,1.20,0.140,[Fe/H],0.302,4.29,2.880,0.35577,,
1,1,,6080.00,1.17,1.10,0.020,[Fe/H],0.160,4.35,2.950,1.90469,,
1,3,G4 V,5770.00,1.65,1.18,0.290,[Fe/H],0.464,4.08,6.430,0.35927,2.1300,-20.21
1,3,G4 V,5770.00,1.65,1.18,0.290,[Fe/H],0.464,4.08,6.430,0.27040,2.1300,-20.21
1,3,G4 V,5770.00,1.65,1.18,0.290,[Fe/H],0.454,4.08,6.430,0.36590,2.1300,-20.21
1,1,,5660.00,0.93,0.95,-0.020,[Fe/H],0.069,4.49,4.070,1.36344,,
1,1,,5216.00,0.80,0.84,-0.040,[Fe/H],-0.467,4.56,4.900,1.45628,,
1,1,,5556.00,0.93,0.95,0.080,[Fe/H],-0.091,4.49,4.680,2.37615,,
1,1,,6241.00,1.28,1.18,0.000,[Fe/H],0.604,4.29,2.820,0.34762,,
1,1,,5776.00,0.97,0.99,-0.030,[Fe/H],0.421,4.46,3.980,9.72741,,
1,1,,5486.00,0.89,0.92,0.040,[Fe/H],-0.283,4.51,4.680,4.18978,,
1,1,,5359.00,0.83,0.87,-0.040,[Fe/H],0.486,4.55,4.170,0.58530,,
1,1,,5818.00,0.99,0.99,-0.040,[Fe/H],0.302,4.45,4.170,0.54585,,
1,1,,6339.00,2.00,1.45,0.130,[Fe/H],0.840,4.00,2.570,0.11716,,-30.76
1,1,,5609.00,0.91,0.94,-0.010,[Fe/H],-0.106,4.50,4.370,0.44826,,
2,3,,5884.00,1.13,0.96,-0.199,[M/H],0.198,4.30,5.890,0.93792,,21.92
2,3,,5879.00,1.17,1.00,0.020,[Fe/H],0.155,4.29,5.890,0.87000,,21.92
2,3,,5884.00,1.13,0.96,-0.199,[M/H],0.198,4.30,5.890,0.93792,,21.92
1,1,,6130.00,1.79,1.29,0.050,[Fe/H],0.636,4.04,3.550,0.25044,,
1,1,,5188.00,0.81,0.85,0.010,[Fe/H],-0.346,4.56,4.900,8.94101,,
1,1,,5236.00,0.82,0.86,0.040,[Fe/H],-0.467,4.55,4.680,13.16198,,
1,1,,5771.00,1.00,1.01,0.040,[Fe/H],-0.002,4.44,4.470,2.56621,,
1,1,,5259.00,0.81,0.85,-0.050,[Fe/H],0.639,4.56,4.680,0.02158,,
1,1,,5701.00,0.96,0.97,0.010,[Fe/H],0.084,4.47,4.370,0.66370,,
1,1,,5727.00,0.97,0.98,0.000,[Fe/H],-0.063,4.45,4.570,14.86593,,
1,1,,5884.00,1.08,1.06,0.060,[Fe/H],-0.205,4.39,4.070,2.49234,,
1,1,,3468.00,0.34,0.35,-0.130,[Fe/H],-1.503,4.92,3.720,6.07171,,
1,1,,5235.00,0.80,0.85,-0.030,[Fe/H],-0.603,4.56,4.270,7.95737,,
1,2,,5685.00,1.03,1.02,0.120,[Fe/H],0.022,4.42,3.660,1.44000,0.4000,-22.62
1,2,,5685.00,1.03,1.02,0.120,[Fe/H],0.022,4.42,3.660,1.44000,0.4000,-22.62
1,1,,5549.00,0.88,0.91,-0.070,[Fe/H],-0.192,4.51,4.170,3.18974,,
1,2,,5748.00,1.40,1.05,0.090,[Fe/H],0.472,4.16,7.590,0.26664,,
1,2,,5748.00,1.40,1.05,0.090,[Fe/H],0.472,4.16,7.590,0.26664,,
1,1,,5719.00,0.92,0.99,-0.020,[Fe/H],-0.099,4.51,2.000,1.64380,,-8.41
1,1,,5453.00,0.85,0.92,0.000,[Fe/H],-0.325,4.54,2.690,2.56622,,
1,1,,4188.00,0.59,0.60,-0.220,[Fe/H],-1.891,4.68,6.030,18.53414,,
1,1,,4861.00,0.75,0.80,0.070,[Fe/H],-0.628,4.60,3.470,2.49769,,
1,1,,5884.00,1.12,1.04,0.030,[Fe/H],0.253,4.36,5.130,0.25291,,
1,1,,5144.00,0.79,0.83,-0.010,[Fe/H],-0.414,4.57,4.790,2.92839,,
1,1,,4598.00,0.70,0.73,-0.010,[Fe/H],-0.730,4.62,4.570,4.29671,,
2,1,,3655.00,0.54,0.56,0.440,[Fe/H],-1.457,4.73,5.370,5.61277,,
2,4,,6003.00,1.18,0.98,-0.216,[M/H],0.211,4.31,4.370,1.03010,,
2,4,,6003.00,1.18,0.98,-0.216,[M/H],0.211,4.31,4.370,0.49635,,
2,4,,6003.00,1.18,0.98,-0.216,[M/H],0.211,4.31,4.370,6.09377,,
2,4,,6023.00,1.10,1.03,-0.130,[Fe/H],0.211,4.37,4.370,10.71472,,
1,1,,4817.00,0.74,0.80,0.100,[Fe/H],-0.729,4.60,3.160,4.76821,,
1,2,,4094.00,0.53,0.54,-0.450,[Fe/H],-0.862,4.73,4.170,3.77092,,
1,2,,4094.00,0.53,0.54,-0.450,[Fe/H],-0.862,4.73,4.170,4.17521,,
1,1,,5488.00,0.87,0.90,-0.070,[Fe/H],-0.101,4.52,4.470,1.74298,,
1,1,,6169.00,1.40,1.18,0.020,[Fe/H],0.295,4.21,3.550,0.75775,,2.90
1,1,,4776.00,0.73,0.78,0.050,[Fe/H],-0.673,4.61,2.880,13.69084,,
1,1,,5550.00,0.91,0.93,0.010,[Fe/H],-0.136,4.50,4.790,0.11483,,
1,1,,6725.00,1.74,1.45,0.020,[Fe/H],0.523,4.12,1.700,0.85604,,4.08
1,1,,5885.00,1.03,1.02,-0.030,[Fe/H],0.036,4.42,4.070,0.25852,,
1,1,,5780.00,0.99,1.00,0.000,[Fe/H],0.228,4.44,4.570,0.88677,,
1,1,,4500.00,0.69,0.72,0.020,[Fe/H],-0.771,4.62,5.620,4.94086,8.7000,-14.26
1,2,,5736.00,1.43,1.02,0.282,[M/H],0.410,4.19,9.400,0.33482,,10.16
1,2,,5736.00,1.43,1.02,0.282,[M/H],0.410,4.19,9.400,0.33482,,10.16
1,1,,5608.00,0.94,0.97,0.080,[Fe/H],0.426,4.48,4.900,1.54105,,
1,1,,4508.00,0.69,0.72,0.050,[Fe/H],-0.909,4.63,4.170,7.08786,,
1,1,,5581.00,0.90,0.95,0.000,[Fe/H],-0.137,4.51,3.240,9.95897,,
1,1,,5628.00,0.92,0.94,-0.040,[Fe/H],-0.188,4.49,4.570,4.11331,,
1,1,,5614.00,0.91,0.94,-0.030,[Fe/H],0.028,4.50,4.270,2.26608,,
1,1,,4903.00,0.74,0.77,-0.070,[Fe/H],-0.555,4.60,4.900,3.76794,,
1,2,,5512.00,1.30,0.94,0.050,[Fe/H],0.421,4.18,12.300,0.22170,1.4000,2.45
1,2,,5512.00,1.30,0.94,0.050,[Fe/H],0.421,4.18,12.300,2.85220,1.4000,2.45
1,1,,4523.00,0.67,0.70,-0.090,[Fe/H],-0.742,4.64,4.270,1.68920,,
1,1,,5909.00,1.05,1.04,0.000,[Fe/H],0.247,4.41,3.800,1.79611,,
1,1,,5586.00,0.93,0.94,0.010,[Fe/H],0.188,4.47,5.620,0.60124,,-48.79
1,2,,5983.00,1.18,1.06,-0.207,[M/H],0.061,4.31,3.550,1.26196,,-27.16
1,2,,5983.00,1.18,1.06,-0.207,[M/H],0.061,4.31,3.550,1.26196,,-27.16
1,1,,6331.00,1.42,1.27,0.070,[Fe/H],0.087,4.24,2.400,1.16531,,
2,1,,4662.00,0.72,0.79,0.190,[Fe/H],-0.638,4.62,1.820,1.19696,,
1,1,,5527.00,0.90,0.93,0.030,[Fe/H],-0.261,4.51,4.370,2.72102,,
1,1,,5759.00,0.93,0.95,-0.160,[Fe/H],0.195,4.48,3.980,3.86246,,
1,1,,5981.00,1.13,1.09,0.060,[Fe/H],0.146,4.37,3.630,1.22394,,
1,1,,6449.00,1.55,1.32,0.040,[Fe/H],0.693,4.18,2.240,0.87009,,
1,1,,6133.00,1.21,1.14,0.040,[Fe/H],-0.008,4.33,3.090,4.71885,,
1,1,,5193.00,0.79,0.82,-0.110,[Fe/H],-0.388,4.57,5.620,3.08057,,
1,1,,5911.00,1.04,1.04,-0.010,[Fe/H],0.204,4.42,3.720,0.98819,,
1,1,,6086.00,1.28,1.16,0.030,[Fe/H],0.343,4.29,2.880,0.48407,,-29.14
1,2,,6090.00,1.27,1.25,-0.105,[M/H],0.448,4.27,2.620,0.41241,,
1,2,,6090.00,1.27,1.25,-0.105,[M/H],0.448,4.27,2.620,0.41241,,
1,2,,3827.00,0.53,0.55,-0.060,[Fe/H],-1.283,4.74,4.570,4.98230,,
1,2,,3827.00,0.53,0.55,-0.060,[Fe/H],-1.283,4.74,4.570,4.98230,,
1,1,,4439.00,0.67,0.70,-0.030,[Fe/H],-0.983,4.64,4.170,4.81851,,
1,1,,6118.00,1.16,1.11,0.000,[Fe/H],0.263,4.35,3.160,0.71771,,
1,1,,4776.00,0.72,0.76,-0.060,[Fe/H],-0.615,4.61,4.680,3.04244,,
1,1,,6168.00,1.24,1.16,0.030,[Fe/H],0.302,4.31,2.950,0.22525,,
1,1,,5352.00,0.83,0.88,-0.040,[Fe/H],-0.329,4.55,4.270,3.16032,,
1,1,,5106.00,0.78,0.82,-0.020,[Fe/H],-0.486,4.58,4.900,6.80724,,
1,1,,5597.00,0.90,0.93,-0.060,[Fe/H],-0.146,4.50,4.570,2.16164,,
1,1,,5181.00,0.79,0.82,-0.080,[Fe/H],-0.413,4.57,5.130,3.96348,,
1,1,,4709.00,0.72,0.78,0.110,[Fe/H],-0.717,4.62,2.340,2.71881,,
2,2,,6165.00,1.35,1.20,0.000,[M/H],0.467,4.24,2.750,0.50562,,
2,2,,6165.00,1.35,1.20,0.000,[M/H],0.467,4.24,2.750,0.50562,,
1,1,,6778.00,1.83,1.51,0.060,[Fe/H],0.923,4.09,1.550,0.25729,,
1,1,,5131.00,0.79,0.83,0.000,[Fe/H],-0.437,4.57,4.900,1.65693,3.4000,-33.40
1,1,,4857.00,0.74,0.80,0.060,[Fe/H],-0.601,4.60,3.090,4.98007,,
1,1,,4839.00,0.72,0.76,-0.090,[Fe/H],-0.626,4.61,4.170,3.10018,,
1,1,,6805.00,1.79,1.49,0.040,[Fe/H],0.792,4.10,1.580,0.12368,,
1,2,,5770.00,1.05,1.00,0.030,[Fe/H],0.425,4.39,6.030,0.28483,,
1,2,,5770.00,1.05,1.00,0.030,[Fe/H],0.425,4.39,6.030,0.28483,,
1,1,,4070.00,0.60,0.62,-0.020,[Fe/H],-0.996,4.68,3.980,2.87389,,
1,1,,4106.00,0.60,0.62,-0.060,[Fe/H],-0.905,4.68,3.890,3.35551,,
1,1,,5906.00,1.08,1.07,0.100,[Fe/H],0.051,4.40,3.470,0.76410,,
1,1,,5761.00,0.99,0.99,0.000,[Fe/H],-0.010,4.45,4.070,1.09037,,
1,2,,5187.00,0.80,0.91,-0.020,[Fe/H],-0.292,4.55,4.270,2.00607,5.4000,-28.10
1,2,,5187.00,0.80,0.91,-0.020,[Fe/H],-0.292,4.55,4.270,2.00607,5.4000,-28.10
1,2,,6202.00,1.29,1.19,0.050,[Fe/H],0.458,4.29,2.880,2.23359,,
1,2,,6202.00,1.29,1.19,0.050,[Fe/H],0.458,4.29,2.880,0.60786,,
1,2,,5361.00,0.83,0.87,-0.070,[Fe/H],-0.198,4.55,4.370,3.54402,,
1,2,,5361.00,0.83,0.87,-0.070,[Fe/H],-0.198,4.55,4.370,2.81947,,
1,1,,5677.00,0.97,0.98,0.050,[Fe/H],0.012,4.46,5.010,1.37652,,
1,1,,6299.00,1.33,1.22,0.030,[Fe/H],0.774,4.27,2.510,1.38072,,
1,1,,5323.00,0.81,0.85,-0.130,[Fe/H],-0.368,4.56,4.470,4.86052,,
1,1,,6704.00,1.78,1.47,0.090,[Fe/H],0.822,4.11,1.660,0.29134,,
1,1,,5659.00,0.97,0.98,0.070,[Fe/H],-0.071,4.46,4.680,1.68058,,
1,1,,5218.00,0.82,0.86,0.050,[Fe/H],-0.293,4.55,5.010,4.41831,,
1,1,,4407.00,0.67,0.70,0.030,[Fe/H],-0.903,4.63,6.460,3.19495,,
1,1,,5188.00,0.79,0.83,-0.040,[Fe/H],-0.403,4.57,5.010,2.54470,,
1,3,M1 V,3841.00,0.44,0.52,-0.280,[Fe/H],-1.222,4.89,4.680,9.50000,,-36.33
1,3,M1 V,3841.00,0.44,0.52,-0.280,[Fe/H],-1.222,4.89,4.680,9.50000,,-36.33
1,3,M1 V,3841.00,0.44,0.52,-0.280,[Fe/H],-1.222,4.89,4.680,9.50000,,-36.33
1,1,,5570.00,0.94,0.96,0.100,[Fe/H],0.473,4.48,4.790,0.48821,,
1,1,,5747.00,0.94,0.96,-0.100,[Fe/H],-0.117,4.48,4.070,4.58247,,
1,1,,6161.00,1.72,1.36,0.300,[Fe/H],0.572,4.10,2.750,0.14721,,
1,1,,6370.00,1.44,1.26,0.030,[Fe/H],0.568,4.23,2.240,0.37945,,
1,1,,4919.00,0.74,0.78,-0.060,[Fe/H],-0.539,4.60,4.570,2.40021,,
1,1,,5732.00,1.29,1.15,0.410,[Fe/H],0.450,4.27,4.370,0.23462,,-11.10
1,1,,5733.00,1.03,1.02,0.110,[Fe/H],0.009,4.41,5.010,0.83219,6.6000,-45.53
1,1,,5046.00,0.77,0.82,0.020,[Fe/H],-0.560,4.58,4.370,4.67079,,
1,4,,4098.00,0.61,0.63,0.020,[Fe/H],-1.107,4.67,4.470,3.82796,,
1,4,,4098.00,0.61,0.63,0.020,[Fe/H],-1.107,4.67,4.470,3.82796,,
1,4,,4098.00,0.61,0.63,0.020,[Fe/H],-1.107,4.67,4.470,3.82796,,
1,4,,4098.00,0.61,0.63,0.020,[Fe/H],-1.107,4.67,4.470,3.82796,,
1,1,,5078.00,0.74,0.81,-0.140,[Fe/H],-0.534,4.61,2.090,2.61033,,
1,2,,5594.00,1.30,1.05,0.280,[Fe/H],0.016,4.25,5.100,1.09708,,
1,2,,5594.00,1.30,1.05,0.280,[Fe/H],0.016,4.25,5.100,1.03328,,
1,1,,5753.00,0.98,0.98,-0.010,[Fe/H],-0.100,4.45,4.470,1.58258,,
1,1,,5840.00,1.10,1.03,0.040,[Fe/H],0.439,4.36,5.500,0.56867,,
1,1,,5479.00,0.85,0.88,-0.110,[Fe/H],-0.231,4.53,4.680,1.59423,,
1,1,,5697.00,0.92,0.95,-0.090,[Fe/H],0.151,4.50,3.470,2.00328,,
1,1,,6481.00,2.55,1.64,0.060,[Fe/H],0.811,3.84,1.910,0.25209,,16.02
1,1,,6138.00,1.23,1.17,0.120,[Fe/H],0.277,4.33,2.880,0.82958,,-11.97
1,1,,6195.00,1.27,1.18,0.040,[Fe/H],0.204,4.30,2.750,1.17086,,
1,1,,6026.00,1.12,1.09,0.000,[Fe/H],0.591,4.37,3.550,0.33592,,
1,2,,6126.00,1.18,1.13,0.010,[Fe/H],0.312,4.34,3.090,0.61690,,
1,2,,6126.00,1.18,1.13,0.010,[Fe/H],0.312,4.34,3.090,0.57705,,
1,1,,5735.00,0.96,0.97,-0.030,[Fe/H],0.010,4.47,4.370,1.59008,,
2,1,,6395.00,2.05,1.51,0.120,[Fe/H],0.799,3.99,2.200,0.29161,7.9000,6.53
1,2,,6077.00,1.29,1.15,-0.039,[M/H],0.251,4.27,0.880,0.93176,,-33.41
1,2,,6077.00,1.29,1.15,-0.039,[M/H],0.251,4.27,0.880,0.95841,,-33.41
1,1,,5044.00,0.78,0.83,0.040,[Fe/H],-0.578,4.58,4.570,2.64871,,
1,1,,5964.00,1.10,1.07,0.040,[Fe/H],0.140,4.39,3.550,1.79107,,
1,1,,5416.00,0.87,0.90,0.030,[Fe/H],0.448,4.53,4.570,0.38709,,
1,1,,6060.00,1.15,1.11,0.030,[Fe/H],0.372,4.36,3.310,1.42752,,
1,1,,5261.00,0.80,0.84,-0.090,[Fe/H],-0.370,4.56,4.570,3.95109,,
1,1,,5925.00,1.07,1.05,0.030,[Fe/H],0.022,4.40,3.630,1.34675,,
1,1,,5892.00,1.12,1.05,0.040,[Fe/H],0.135,4.36,5.010,3.52381,,
1,1,,6010.00,1.15,1.10,0.050,[Fe/H],0.271,4.36,3.240,0.32782,,
1,1,,6170.00,1.35,1.21,0.000,[Fe/H],0.579,4.25,2.570,0.28000,,-29.04
1,1,,5160.00,0.79,0.83,-0.030,[Fe/H],-0.422,4.57,4.790,3.43600,,
1,2,,4910.00,0.79,1.00,0.264,[M/H],-0.446,4.57,12.390,1.81992,,-20.11
1,2,,4910.00,0.79,1.00,0.264,[M/H],-0.446,4.57,12.390,1.81992,,-20.11
1,1,,4092.00,0.60,0.63,0.010,[Fe/H],-1.158,4.67,4.070,3.25000,,
1,1,,5664.00,0.92,0.95,-0.040,[Fe/H],0.041,4.49,4.170,3.34613,,
1,1,,5880.00,1.27,1.06,0.040,[Fe/H],0.383,4.25,6.310,0.39260,,
1,1,,5196.00,0.80,0.84,-0.050,[Fe/H],-0.391,4.57,4.680,2.23278,,
1,1,,4951.00,0.75,0.80,-0.020,[Fe/H],-0.464,4.59,4.680,11.12801,,
1,1,,5267.00,0.84,0.89,0.120,[Fe/H],-0.297,4.54,4.170,5.77265,,
1,1,,6019.00,1.15,1.09,0.030,[Fe/H],0.284,4.35,2.950,0.44390,,
1,1,,5839.00,1.02,1.02,0.020,[Fe/H],0.395,4.43,4.070,0.44314,,
1,1,,4770.00,0.72,0.77,0.000,[Fe/H],-0.616,4.61,3.630,3.48546,,
1,1,,5796.00,1.01,1.01,0.040,[Fe/H],0.042,4.43,4.370,1.38123,,
1,3,,5790.00,1.27,0.99,0.080,[Fe/H],0.107,4.26,8.200,0.77079,,
1,3,,5790.00,1.27,0.99,0.080,[Fe/H],0.107,4.26,8.200,1.17774,,
1,3,,5790.00,1.27,0.99,0.080,[Fe/H],0.107,4.26,8.200,0.77217,,
1,1,,5187.00,0.79,0.82,-0.100,[Fe/H],-0.232,4.57,4.900,2.60281,,
1,1,,6335.00,1.42,1.25,0.050,[Fe/H],0.599,4.23,2.750,0.36798,,
1,1,,6194.00,1.23,1.15,0.000,[Fe/H],0.447,4.32,3.020,0.43843,,
1,1,,4939.00,0.75,0.79,-0.020,[Fe/H],-0.520,4.59,4.680,6.49067,,
1,1,,5838.00,1.07,1.02,0.010,[Fe/H],0.271,4.39,5.250,1.18792,,
1,1,,5718.00,0.95,0.97,-0.030,[Fe/H],0.398,4.47,4.070,0.21194,,
1,1,,5831.00,1.02,1.02,0.030,[Fe/H],0.035,4.43,4.070,1.21534,,
1,1,,5793.00,1.01,1.01,0.060,[Fe/H],0.016,4.44,4.070,2.44940,,
1,1,,6184.00,1.36,1.28,0.350,[Fe/H],0.944,4.28,2.040,0.93831,,
1,1,,5902.00,1.07,1.05,0.040,[Fe/H],0.138,4.40,4.170,1.63772,,
1,2,,5848.00,1.36,1.06,-0.073,[M/H],0.294,4.20,5.620,89.87267,,
1,2,,5848.00,1.36,1.06,-0.073,[M/H],0.294,4.20,5.620,0.59200,,
1,1,,4796.00,0.72,0.77,-0.030,[Fe/H],-0.816,4.62,2.090,2.63600,,
1,1,,5806.00,1.03,1.03,0.070,[Fe/H],0.243,4.42,4.270,0.71412,,
1,1,,6031.00,1.13,1.09,0.020,[Fe/H],0.449,4.37,3.470,1.32201,,
1,1,,6097.00,1.19,1.14,0.070,[Fe/H],0.247,4.34,3.020,1.65579,,
1,1,,6291.00,2.04,1.47,0.190,[Fe/H],0.862,3.98,2.570,0.10881,,-21.78
1,1,,6356.00,1.32,1.21,-0.030,[Fe/H],0.468,4.28,2.630,0.63089,,
1,1,,5972.00,1.09,1.06,-0.010,[Fe/H],0.801,4.39,3.800,0.21434,,
1,1,,5557.00,0.90,0.93,-0.020,[Fe/H],0.316,4.51,4.570,0.44297,,
1,1,,5530.00,0.96,0.97,0.200,[Fe/H],0.123,4.46,5.370,3.72380,,
1,1,,3578.00,0.43,0.46,-0.030,[Fe/H],-1.544,4.83,4.070,6.98546,,
1,2,,6075.00,1.24,1.15,-0.185,[M/H],0.282,4.29,0.940,0.78667,,-1.36
1,2,,6075.00,1.24,1.15,-0.185,[M/H],0.282,4.29,0.940,0.78667,,-1.36
1,1,,5698.00,0.96,0.98,0.040,[Fe/H],0.377,4.46,4.470,0.35257,,
1,1,,5802.00,1.00,1.00,0.010,[Fe/H],0.325,4.45,3.890,0.89182,,
1,1,,6394.00,1.44,1.34,0.260,[Fe/H],0.651,4.25,1.700,0.37809,,12.22
1,1,,6289.00,1.27,1.19,0.000,[Fe/H],0.561,4.30,2.630,0.45275,14.7000,3.02
1,1,,5810.00,1.05,1.03,0.060,[Fe/H],0.021,4.40,4.790,1.19806,,-29.62
1,1,,6150.00,1.26,1.13,-0.030,[Fe/H],0.340,4.28,3.800,0.77032,3.4000,11.79
