sy_snum,sy_pnum,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_radv
1,3,K3 V,4761.00,0.54,0.67,-0.330,[Fe/H],-0.761,4.63,,2.95996,2.0000,
1,1,,4520.00,0.66,0.73,-0.003,[Fe/H],-0.364,4.66,,,,
1,2,,4292.67,0.63,0.61,-0.113,[M/H],-0.874,4.74,,2.55179,,
1,1,,5053.00,0.63,0.80,0.000,[Fe/H],-0.635,4.59,,2.65207,,
1,2,,5502.70,0.83,0.88,-0.130,[Fe/H],-0.176,4.39,,1.27040,,-10.09
1,1,,5759.00,0.82,0.93,,,-0.170,4.59,,2.38280,,
1,1,,3489.00,0.37,0.22,,,-1.730,4.85,,9.77858,,
1,1,,4055.00,0.67,0.56,,,-0.980,4.58,,2.90458,,
1,1,,3467.00,0.37,0.41,,,-2.088,4.99,,19.87982,,
1,1,,4864.00,0.67,0.71,,,-0.593,4.57,,2.51975,,
1,1,M0,4148.21,0.57,0.66,0.140,[Fe/H],-1.153,4.65,0.790,3.87972,2.6000,34.85
1,1,G0,6069.00,1.39,1.17,0.100,[Fe/H],0.373,4.22,3.990,2.25300,4.0000,1.26
1,1,,4987.49,0.75,0.83,,,-0.505,4.58,,2.50384,,
1,1,,5782.33,1.22,1.11,,,0.179,4.30,,0.84195,,
1,1,,4982.79,0.76,0.91,,,-0.497,4.61,,2.81669,,
1,1,,5864.75,0.98,0.95,-0.210,[Fe/H],0.006,4.54,,1.85888,,
1,2,K3,4684.00,0.67,0.69,-0.137,[Fe/H],-0.751,4.62,,3.19000,,-16.00
1,2,K3,4684.00,0.67,0.69,-0.137,[Fe/H],-0.804,4.62,,3.19000,,-16.00
1,2,,5523.00,1.01,0.94,0.150,[Fe/H],-0.215,4.47,,1.44200,,
1,2,G5 V,5617.00,0.98,0.97,0.130,[Fe/H],-0.119,4.45,5.000,1.35000,2.6200,-15.86
1,2,G5 V,5617.00,0.98,0.97,0.130,[Fe/H],-0.119,4.45,5.000,1.35000,2.6200,-15.86
2,1,F5 V,6202.00,1.59,1.32,0.141,[Fe/H],0.526,4.16,3.020,0.46500,74.9200,36.85
1,1,,4898.00,2.70,0.90,-0.230,[Fe/H],0.548,3.52,,0.06400,,30.58
