sy_snum,sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_radv
1,1,5466.00,0.97,0.96,,-0.125,4.45,,1.5025,
1,1,5466.00,0.97,0.96,,-0.125,4.45,,1.5025,
1,1,5688.00,0.94,,,,,,,
1,1,5466.00,0.97,0.96,,-0.125,4.45,,1.5025,
1,1,5669.00,0.85,0.93,,,4.54,2.300,,
1,1,5687.00,0.86,0.93,-0.120,,4.54,,1.6154,
1,1,5687.00,0.86,0.93,-0.120,,4.54,,1.6154,
1,1,5687.00,0.86,0.93,-0.120,,4.54,,1.7040,
1,1,3937.00,0.52,0.53,-0.270,,4.73,,4.9790,
1,1,4346.00,0.65,0.68,-0.030,,4.65,3.630,,
1,1,4272.00,0.67,0.67,,-0.865,4.60,,3.0675,
1,1,3937.00,0.52,0.53,-0.270,,4.73,,4.9790,
1,1,4299.00,0.56,0.59,,,4.71,13.600,,
1,1,4272.00,0.67,0.67,,-0.865,4.60,,3.0675,
1,1,3937.00,0.52,0.53,-0.270,,4.73,,4.9790,
1,1,4272.00,0.67,0.67,,-0.865,4.60,,3.0675,
1,1,4252.00,0.63,0.64,-0.060,,4.64,,4.4177,
1,1,4251.00,0.64,,,,,,,
1,1,5952.00,0.97,1.00,,,4.46,3.200,,
1,1,6016.43,1.49,1.11,-0.187,0.416,4.14,,0.4778,
1,1,5959.00,0.97,0.98,-0.160,,4.46,,0.4084,
1,1,5959.00,0.97,0.98,-0.160,,4.46,,0.4084,
1,1,5959.00,0.97,0.98,-0.160,,4.46,,0.7232,
1,1,5959.00,0.97,0.98,-0.160,,4.46,,0.4084,
1,1,5935.00,1.08,1.06,0.050,,4.39,3.800,,
1,1,5961.00,1.60,,,,,,,
2,2,5095.00,0.77,0.73,-0.200,,4.53,,0.3219,
2,2,5146.47,0.74,0.87,-0.034,-0.457,4.63,,2.9836,
2,2,5146.47,0.74,0.87,-0.034,-0.457,4.63,,2.9836,
2,2,5041.00,0.77,0.81,0.020,,4.58,,2.7872,
2,2,5043.00,0.77,0.82,-0.010,,4.58,4.900,,
2,2,5146.47,0.74,0.87,-0.034,-0.457,4.63,,2.9836,
2,2,5067.00,0.83,,,,,,,
2,2,5095.00,0.77,0.73,-0.200,,4.53,,0.3219,
2,2,5088.00,0.76,0.75,,,4.55,14.000,,
2,2,5095.00,0.77,0.73,-0.200,,4.53,,0.3219,
2,2,5043.00,0.77,0.82,-0.010,,4.58,4.900,,
2,2,5146.47,0.74,0.87,-0.034,-0.457,4.63,,2.9836,
