sy_snum,sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg,st_age,st_dens,st_radv
1,2,,1.49,,,,,,,
1,2,5995.00,1.56,1.16,,,4.12,,,
1,2,5800.00,1.01,,,,,,,
1,2,6022.00,1.24,1.17,0.300,,4.26,,,
1,2,,1.49,,,,,,,
1,1,5070.00,0.78,0.85,0.120,,4.67,,,
1,1,,0.78,,,,,,,
1,1,4865.60,0.79,0.79,0.237,-0.498,4.54,,2.2379,
1,1,4865.60,0.79,,,,4.54,,,
1,1,4970.00,0.76,0.80,0.290,-0.500,4.47,0.850,2.5000,7.35
1,1,5297.00,0.83,0.87,,,4.54,,,
1,1,5926.00,1.25,1.06,,,4.25,,,
1,1,5839.00,1.04,1.06,0.200,,4.41,,,
1,1,,1.37,,,,,,,
1,1,5926.00,1.28,1.06,,,4.25,,,
1,2,5147.00,0.80,0.84,,,4.56,,,
1,2,4890.00,0.74,0.79,-0.010,,,,,
1,2,4779.00,0.77,0.77,0.010,-0.553,4.55,,2.3633,
1,2,,0.71,,,,,,,
1,2,4870.00,0.74,0.78,-0.020,,4.52,,,
1,2,4797.00,0.73,,,,,,,
1,2,5147.00,0.80,0.84,,,4.56,,,
1,2,,,,,,,,,
1,2,,0.71,,,,,,,
1,2,4870.00,0.74,0.78,-0.020,,4.52,,,
1,2,4797.00,0.73,,,,,,,
1,3,5377.00,0.84,0.91,0.070,,4.65,,,
1,3,,0.79,,,,,,,
1,3,5441.00,0.87,0.90,,,4.52,,,
1,3,5377.00,0.84,0.91,0.070,,4.65,,,
1,3,,0.79,,,,,,,
1,3,5441.00,0.87,0.90,,,4.52,,,
1,3,5377.00,0.84,0.91,0.070,,4.65,,,
1,3,,0.79,,,,,,,
1,1,4530.00,0.63,0.70,,,4.67,,,
1,1,,0.70,,,,,,,
1,1,4784.00,0.76,0.77,,-0.569,4.57,,2.5172,
1,1,4674.13,0.63,0.75,,,,,,
1,2,,0.42,,,,,,,
1,2,3910.00,0.42,0.48,,,4.86,,,
1,2,3875.75,0.55,0.59,,,,,,
1,2,,0.42,,,,,,,
1,2,3910.00,0.42,0.48,,,4.86,,,
1,2,3875.75,0.55,0.59,,,,,,
1,2,3848.00,0.56,0.56,,-1.204,4.68,,4.4018,
1,2,5652.00,0.93,0.95,,,4.48,,,
1,2,,0.84,,,,,,,
1,2,,0.84,,,,,,,
1,2,5652.00,0.93,0.95,,,4.48,,,
1,1,4268.00,0.51,0.57,,,4.78,,,
1,1,4376.21,0.68,0.70,,,,,,
1,1,4427.00,0.68,,-0.360,,4.30,,,
1,1,4441.00,0.65,0.68,-0.140,,4.65,,,
1,1,,0.67,,,,,,,
1,1,4462.00,0.71,,-0.280,,4.17,,,
1,1,4222.00,0.73,0.66,,-0.812,4.53,,2.3519,
1,1,5129.00,0.72,0.76,-0.350,,4.52,,,
1,1,,0.80,,,,,,,
1,1,5482.00,0.76,0.79,,,4.58,,,
1,1,5747.00,1.40,1.16,0.328,,4.21,,0.5900,
1,1,,1.51,,,,,,,
1,1,5406.00,0.93,0.95,,,4.47,,,
1,1,5583.60,1.45,,,,4.11,,,
1,1,,0.26,,,,,,,
1,1,3537.00,0.26,0.26,,,5.02,,,
1,1,3624.15,0.46,0.48,,,,,,
1,1,3677.00,0.54,0.53,,-1.327,4.71,,4.8929,
1,1,3691.00,0.32,0.35,,,4.96,,,
1,1,,0.32,,,,,,,
1,1,3390.00,0.31,0.30,-0.250,-1.921,,1.000,9.8800,-31.02
1,1,3468.00,0.25,0.24,-0.460,,,,,
1,1,,0.47,,,,,,,
1,1,3765.00,0.52,,,,,,,
1,1,4052.00,0.47,0.52,,,4.82,,,
1,2,4421.98,0.63,0.70,,,,,,
1,2,4484.00,0.62,0.63,-0.225,,4.65,,3.7400,
1,2,,0.65,,,,,,,
1,2,4136.00,0.49,0.56,,,4.79,,,
1,2,4133.13,0.65,0.65,-0.038,-0.953,4.62,,3.3079,
1,2,4136.00,0.49,0.56,,,4.79,,,
1,2,,0.65,,,,,,,
1,2,4421.98,0.63,0.70,,,,,,
1,1,3622.00,0.28,0.29,,,5.00,,,
1,1,3488.90,0.32,0.38,,,,,,
1,1,3326.00,0.36,0.35,,-1.841,4.86,,10.3669,
1,1,,0.28,,,,,,,
1,1,3566.00,0.40,0.41,0.100,,4.85,,,
1,1,,0.23,,,,,,,
1,1,3471.00,0.40,0.36,0.110,-1.678,,0.800,7.8100,35.20
1,1,3548.00,0.42,0.44,-0.030,,4.84,,1.1200,
1,1,3410.00,0.44,0.43,0.140,-1.635,,0.790,7.0900,35.85
1,1,,0.43,,,,,,,
1,1,,0.23,,,,,,,
1,1,3411.00,0.41,0.41,,-1.678,4.81,,8.0547,
1,1,4717.00,4.47,1.20,0.330,,3.22,,0.2790,
1,1,,4.79,,,,,,,
1,1,,4.09,,,,,,,
1,1,4642.60,4.71,,,,,,,
1,1,4836.00,2.95,1.05,0.270,,3.50,,,
1,1,4790.00,4.20,1.16,0.420,,3.26,7.600,0.0222,
1,1,4642.56,4.71,,0.313,,,,,
1,1,,4.20,1.16,,,,,,
1,1,4790.00,4.20,1.16,0.420,,3.26,7.800,0.0222,
1,1,,1.39,,,,,,,
1,1,6095.00,1.51,1.16,-0.100,,4.09,,,
1,1,6120.00,1.31,1.07,-0.200,,4.23,5.200,0.6600,76.75
1,1,6283.00,1.51,,,,4.17,,,
1,1,6283.00,1.51,1.23,,0.504,4.17,,0.5067,
1,1,,1.37,,,,,,,
1,1,6283.00,1.51,1.23,,0.504,4.17,,0.5067,
1,1,6172.00,1.57,1.20,-0.060,,4.13,,0.6330,
1,1,6033.00,2.28,1.42,0.150,,3.78,,,
1,1,,2.71,,,,,,,
1,1,,1.98,,,,,,,
1,1,6073.27,2.73,1.14,0.169,0.961,3.62,,0.0789,
1,1,5990.00,3.10,1.60,0.200,,3.67,2.400,0.0780,-2.08
1,1,6217.00,2.63,1.63,0.210,,3.81,,0.0990,
1,1,6518.00,1.46,1.32,,0.542,,,,-14.20
1,1,6518.00,1.46,1.32,,0.542,,,,-14.20
1,1,6596.04,1.46,1.38,0.131,0.562,4.25,,0.6206,
1,1,6518.00,1.46,1.32,,0.542,,,,-14.20
1,1,6596.04,1.46,,,,4.25,,,
1,1,6596.04,1.46,1.38,0.131,0.562,4.25,,0.6206,
1,1,,,,,,,,,
1,1,5948.00,1.21,1.11,0.090,0.217,4.32,4.500,0.8890,
1,1,,,,,,,,,
1,1,5326.00,2.83,1.46,,,3.74,,,
1,1,5370.00,2.72,,,,3.73,,,
1,1,5326.00,2.79,,0.270,,,,,
1,1,5326.00,2.79,,0.270,,,,,
1,1,5370.00,2.72,1.44,0.180,0.744,3.73,,0.1010,35.00
1,1,5375.00,2.69,1.44,0.170,,3.70,,0.1040,
1,1,5375.00,2.69,1.44,0.170,,3.70,,0.1040,
1,1,6350.00,2.16,,,,3.87,,,
1,1,6279.00,2.37,1.59,0.190,0.892,3.89,2.200,0.1680,-23.60
1,1,6279.00,2.37,1.59,0.190,0.892,3.89,2.200,0.1680,-23.60
1,1,5720.00,1.52,1.24,0.320,,4.17,5.110,0.4950,34.59
1,1,5720.00,1.52,1.24,0.320,,4.17,5.110,0.4950,34.59
1,1,,,,,,,,,
1,1,5802.00,1.37,1.18,0.326,0.279,4.23,,0.6450,34.62
1,1,5720.00,1.51,,,,4.17,,,
2,1,6003.00,1.52,,,,4.17,,,
2,1,6003.00,1.78,2.06,0.050,,4.17,,0.5100,
2,1,6003.00,1.48,1.18,0.047,0.412,4.17,,0.5140,12.20
2,1,,,,,,,,,
2,1,6003.00,1.48,1.18,0.047,0.412,4.17,,0.5140,12.20
2,1,6236.00,1.36,1.21,-0.002,0.401,4.25,3.100,0.6790,-29.70
2,1,6430.00,1.41,,,,4.25,,,
2,1,6236.00,1.36,1.21,-0.002,0.401,4.25,3.100,0.6790,-29.70
2,1,,,,,,,,,
1,1,,,,,,,,,
1,1,7454.00,1.65,1.64,-0.018,0.876,4.22,0.650,0.5180,28.00
1,1,7511.00,1.70,,,,4.21,,,
2,1,6840.00,1.91,,,,4.05,,,
2,1,6670.00,1.91,1.52,0.090,0.813,4.06,1.900,0.3111,-11.60
2,1,6840.00,1.91,1.48,,0.857,4.05,,0.2999,
2,1,6670.00,1.91,1.52,0.090,0.813,4.06,1.900,0.3111,-11.60
2,1,,,,,,,,,
2,1,,,,,,,,,
2,1,7500.00,1.83,1.62,-0.120,0.978,4.13,,0.3760,-8.50
2,1,7346.00,1.67,,,,4.14,,,
2,1,6148.00,1.83,1.31,0.034,,,3.970,,
2,1,6151.00,1.83,1.31,,,,,,
2,1,6327.00,1.88,,,,3.99,,,
2,1,6327.00,1.93,1.54,0.000,,4.50,,0.3000,
1,1,8894.80,1.62,,,,4.38,,,
1,1,8720.00,1.56,1.76,-0.290,1.104,4.29,0.600,0.6410,-23.30
1,1,8980.00,1.60,1.89,-0.020,,4.31,0.200,0.6600,-21.30
1,1,8720.00,1.56,1.76,-0.290,1.104,4.29,0.600,0.6410,-23.30
1,1,,,,,,,,,
1,1,,,,,,,,,
1,1,8324.00,1.71,,,,4.28,,,
1,1,7598.00,1.64,1.46,-0.405,0.905,4.17,1.600,0.4680,-13.00
2,1,5787.00,0.96,,,,4.50,,,
2,1,5899.00,1.00,0.94,-0.105,0.034,4.42,6.400,1.3490,-15.22
2,1,,,,,,,,,
2,1,5898.00,0.96,1.07,,0.005,4.50,,1.6923,
1,1,,,,,,,,,
1,1,6321.17,1.55,1.25,,0.538,4.16,,0.4745,
1,1,6509.00,1.51,1.46,0.186,0.565,4.25,0.780,0.6030,-5.75
1,1,6403.90,1.55,,,,4.16,,,
1,1,6509.00,1.51,1.46,0.186,0.565,4.25,0.780,0.6030,-5.75
1,1,6415.00,1.52,1.30,0.090,,4.18,2.800,0.5200,-5.63
2,1,6518.00,1.61,,,,4.15,,,
2,1,6306.00,1.47,1.28,0.044,0.489,4.21,3.000,0.5650,27.90
2,1,6308.00,1.47,1.28,0.040,,,3.000,,
2,1,6518.00,1.61,1.34,,0.625,4.15,,0.4520,
2,1,,,,,,,,,
2,1,6306.00,1.47,1.28,0.044,0.489,4.21,3.000,0.5650,27.90
2,1,6304.00,1.70,1.96,0.050,,4.20,,0.5600,
3,1,6206.00,1.60,1.20,-0.116,0.535,4.11,4.440,0.4110,-23.50
3,1,6317.00,1.61,,,,4.12,,,
3,1,,,,,,,,,
1,2,6272.00,1.53,1.13,-0.270,,,4.900,,
1,2,6266.00,1.65,,,,4.09,,,
1,2,,,,,,,,,
1,2,6102.00,1.73,1.42,-0.280,,4.07,,0.3900,
1,2,6102.00,1.58,1.08,-0.281,0.493,4.07,6.100,0.3870,1.10
1,2,6272.00,1.53,1.13,-0.270,,4.12,4.900,0.4400,
1,2,6272.00,1.53,1.13,-0.270,,4.12,4.900,0.4400,
1,1,6789.00,1.73,1.53,0.139,0.758,4.15,1.300,0.4190,
1,1,6768.00,1.81,1.76,0.000,,4.50,,0.4200,
1,1,6513.00,,,,,4.14,,,
1,1,6768.00,1.81,1.76,0.000,,4.50,,0.4200,
1,1,6767.90,1.77,,,,4.10,,,
1,1,,,,,,,,,
1,1,6789.00,1.73,1.53,0.139,0.758,4.15,1.300,0.4190,
1,1,5754.00,1.67,1.21,0.272,,,5.400,,
1,1,5703.00,1.39,,,,4.16,,,
1,1,,,,,,,,,
1,1,5754.00,1.46,0.81,0.270,,4.08,,0.3700,
1,1,5754.00,1.67,1.21,0.272,,4.08,5.400,0.3690,-31.20
1,1,5703.00,1.39,1.02,0.230,0.265,4.16,,0.5339,
1,1,5754.00,1.46,0.81,0.270,,4.08,,0.3700,
2,1,10170.00,2.36,2.52,-0.030,1.724,4.09,0.300,0.2702,-20.57
2,1,,2.18,1.98,,,,,,-17.74
2,1,9435.00,2.29,,,,4.11,,,
2,1,,,,,,,,,
1,3,27500.00,,,,,5.35,,,25.00
1,3,27500.00,,,,,5.35,,,25.00
1,3,27500.00,,,,,5.35,,,25.00
1,1,6118.40,1.57,1.22,0.010,,4.09,,,
1,1,6091.00,1.01,1.01,-0.040,,4.42,,,
1,1,4829.00,5.86,1.42,0.120,1.215,3.09,,,
1,1,6175.00,1.01,0.98,-0.420,,4.44,,,
2,1,,,1.21,,,,,,
1,2,5976.19,1.95,1.10,-0.101,0.641,3.90,,0.2085,
1,2,6340.00,1.24,1.07,-0.380,,4.16,,,
1,2,6340.00,1.39,1.03,-0.380,,4.16,,0.4129,
1,2,6340.00,1.39,1.03,-0.380,,4.16,,0.4129,
1,2,6340.00,1.39,1.03,-0.380,,4.16,,0.3202,
1,2,6340.00,1.39,1.03,-0.380,,4.16,,0.4129,
1,2,6146.00,1.26,1.17,0.060,,4.30,3.160,,
1,1,5459.10,0.89,0.97,0.161,,4.52,,,
2,1,6258.00,1.52,0.98,-0.500,,4.08,,,
1,1,7067.00,,1.63,-0.020,0.996,4.00,,,
1,1,5975.30,2.23,1.46,0.252,,3.90,,,
1,3,6474.00,1.26,1.04,-0.160,,4.31,,,
1,3,6474.00,1.26,1.04,-0.160,,4.31,,,
1,2,6226.00,1.30,1.13,0.000,,4.26,,0.1454,
1,2,6218.00,2.22,,,,,,,
1,2,6065.00,1.01,0.96,-0.280,,4.42,,0.2328,
1,2,6117.21,2.22,1.15,0.144,0.792,3.81,,0.1491,
1,2,6065.00,1.03,0.98,-0.280,,4.42,,,
1,2,6081.00,1.04,1.04,,,4.42,3.000,,
1,2,6065.00,1.01,0.96,-0.280,,4.42,,0.2328,
1,1,,,0.36,,,,,,
1,1,,,0.39,,,,,,
1,1,,,0.39,,,,,,
1,1,,,0.48,,,,,,
1,1,,,0.09,,,,,,
1,1,,,0.02,,,,,,
1,1,,,0.45,,,,,,
1,1,,,,,,,,,
1,1,,,0.04,,,,,,
1,1,,,0.49,,,,,,
1,1,,,0.49,,,,,,
1,1,,,0.51,,,,,,
1,1,,,0.60,,,,,,
1,1,,,0.53,,,,,,
1,1,,,0.48,,,,,,
1,1,,,0.49,,,,,,
1,1,,,,,,,,,
1,1,,,0.07,,,,,,
1,1,,,0.50,,,,,,
1,1,,,0.64,,,,,,
1,1,,,0.62,,,,,,
1,1,,,0.06,,,,,,
1,1,,,0.76,,,,,,
1,1,,,,,,,,,
1,1,,,0.43,,,,,,
1,1,,,0.37,,,,,,
1,1,,,0.40,,,,,,
1,1,,,0.33,,,,,,
1,1,,,0.46,,,,,,
1,1,,,1.14,,,,,,
1,1,,,1.25,,,,,,
1,1,,,0.09,,,,,,
1,1,,,0.08,,,,,,
1,1,,,0.22,,,,,,
1,1,,,0.08,,,,,,
1,1,,,1.09,,,,,,
1,1,,,,,,,,,
1,1,,,1.25,,,,,,
1,1,,,0.42,,,,,,
1,1,,,0.19,,,,,,
1,1,,,0.65,,,,,,
1,1,,,0.65,,,,,,
1,1,,,0.47,,,,,,
1,1,,,0.48,,,,,,
1,1,,,0.08,,,,,,
1,1,,,0.08,,,,,,
1,1,,,0.09,,,,,,
1,1,,,0.15,,,,,,
1,1,,,0.08,,,,,,
1,1,,,0.11,,,,,,
1,1,,,0.14,,,,,,
1,1,,,0.15,,,,,,
1,1,,,0.07,,,,,,
1,1,,,0.23,,,,,,
1,1,,,0.10,,,,,,
1,1,,,0.69,,,,,,
1,1,,,0.69,,,,,,
1,1,,,0.09,,,,,,
1,1,,,0.09,,,,,,
1,1,,,0.76,,,,,,
1,1,,,0.49,,,,,,
1,1,,,0.27,,,,,,
1,1,,,0.26,,,,,,
1,1,,,0.48,,,,,,
1,1,,,0.59,,,,,,
1,1,,,0.61,,,,,,
1,1,,,,,,,,,
1,1,,,,,,,,,
1,1,,,0.31,,,,,,
1,1,,,,,,,,,
1,1,,,,,,,,,
1,1,,,,,,,,,
1,2,,,0.34,,,,,,
1,2,,,0.22,,,,,,
1,2,,,0.26,,,,,,
1,2,,,0.36,,,,,,
1,2,,,0.26,,,,,,
1,2,,,0.34,,,,,,
1,2,,,0.22,,,,,,
1,2,,,0.36,,,,,,
1,1,5200.00,,0.78,,,,,,
1,1,5200.00,,0.81,,,,,,
1,1,5200.00,,0.78,,,,,,
1,1,5200.00,,0.78,,,,,,
1,1,5200.00,,0.80,,,,,,
1,1,5200.00,,0.76,,,,,,
1,1,5200.00,,0.78,,,,,,
1,1,5200.00,,0.74,,,,,,
1,1,5200.00,,0.83,,,,,,
1,1,5200.00,,0.79,,,,,,
1,1,5200.00,,0.83,,,,,,
1,1,,,0.32,,,,,,
1,1,,,0.32,,,,,,
2,1,,,0.62,,,,,,
2,1,,,0.62,,,,,,
1,1,,,0.75,,,,,,
1,1,,,0.80,,,,,,
1,1,,,0.57,,,,,,
1,1,,,,,,,,,
1,1,,,0.08,,,,,,
1,1,,,0.08,,,,,,
1,1,4570.00,,0.68,,,,,,
1,1,4570.00,,0.58,,,,,,
1,1,4570.00,,0.68,,,,,,
1,1,4570.00,,0.58,,,,,,
1,1,4570.00,,0.57,,,,,,
1,1,4570.00,,0.74,,,,,,
1,1,4570.00,,0.58,,,,,,
1,1,,,0.48,,,,,,
1,1,,,0.48,,,,,,
1,2,6635.00,1.52,1.31,-0.040,,4.19,,0.4742,
1,2,6779.23,1.49,1.45,0.081,0.626,4.25,,0.6183,
1,2,6635.00,1.40,1.26,,,4.25,2.120,,
1,2,6823.00,1.37,1.39,0.070,,4.31,,0.4737,
1,2,6820.00,1.63,1.45,0.090,,4.34,1.500,0.4720,
1,2,6635.00,1.52,1.31,-0.040,,4.19,,0.4742,
1,2,6918.00,1.91,1.55,0.020,,4.06,1.450,,
1,2,,,,,,,,,
1,2,6820.00,1.50,,,,,,,
1,2,6635.00,1.52,1.31,-0.040,,4.19,,0.4742,
1,2,6779.20,1.49,,,,4.25,,,
1,2,6779.23,1.49,1.45,0.081,0.626,4.25,,0.6183,
1,2,6779.23,1.49,1.45,0.081,0.626,4.25,,0.6183,
1,2,6820.00,1.75,1.82,0.090,,4.34,,0.4700,
1,2,,1.40,1.50,,,,,0.8000,
2,1,5321.00,0.86,0.78,-0.160,,4.46,,11.9284,
2,1,5421.00,0.89,0.89,0.030,,4.49,7.410,,
2,1,5311.00,0.85,0.80,,,4.47,13.900,,
2,1,,,,,,,,,
2,1,5522.00,1.12,0.96,0.260,,4.32,,12.0347,
2,1,5520.00,1.13,0.99,0.270,,4.32,9.300,0.9900,8.80
2,1,5321.00,0.86,0.78,-0.160,,4.46,,11.9284,
2,1,,,,,,,,,
2,1,,,,,,,,,
2,1,5321.00,0.86,0.78,-0.160,,4.46,,11.9284,
3,1,7650.00,1.74,1.72,0.200,,4.20,,,
3,1,7986.07,,,,,,,,
3,1,9071.00,2.49,,,,,,,
3,1,9107.00,3.03,2.47,0.070,,3.87,,0.4963,
3,1,8848.00,2.44,1.83,,,3.93,,,
3,1,7986.07,,,,,,,,
3,1,7986.10,,,,,,,,
3,1,7986.07,,,,,,,,
3,1,7986.07,,,,,,,,
3,1,9107.00,3.03,2.47,0.070,,3.87,,0.4963,
3,1,8848.00,2.68,,,,3.94,,,
3,1,8482.00,2.00,1.67,-0.500,,4.06,1.120,,
3,1,7650.00,1.71,1.72,0.200,,4.20,0.500,,
3,1,9107.00,3.03,2.47,0.070,,3.87,,0.4963,
3,1,9071.00,2.70,2.27,,,3.93,0.580,,
3,1,,2.55,2.05,,,,,,
3,1,7986.07,,,,,,,,
3,1,9107.00,3.03,2.47,0.070,,3.87,,0.4004,
3,1,8511.00,1.76,2.05,,,,,,
1,3,5466.00,0.91,,,,,,,
1,3,5621.00,1.00,1.06,,,4.47,1.600,,
1,3,5466.00,0.90,0.99,0.270,,,,,
1,3,5368.85,0.96,0.93,0.258,-0.165,4.45,,1.5017,
1,3,5368.85,0.96,0.93,0.258,-0.165,4.45,,1.5017,
1,3,5575.00,0.93,1.05,0.360,,4.52,,0.6447,
1,3,5575.00,0.93,1.05,0.360,,4.52,,0.6447,
1,3,5471.00,0.88,0.96,0.200,-0.223,4.53,2.200,,
1,3,5471.00,0.88,0.96,0.200,-0.223,4.53,2.200,,
1,3,5466.00,0.90,0.99,0.270,,,,,
1,2,5823.00,0.97,1.02,0.060,,4.47,,0.3977,
1,2,5823.00,0.97,1.02,0.060,,4.47,,0.3977,
1,2,5833.00,1.18,1.05,,0.162,4.32,,0.9012,
1,2,5823.00,0.97,1.02,0.060,,4.47,,0.3977,
1,2,5833.00,1.18,1.05,,0.162,4.32,,0.9012,
1,2,5760.00,0.92,0.94,,,4.48,4.700,,
1,2,5823.00,0.97,1.02,0.060,,4.47,,0.0063,
1,2,,0.97,1.02,,,,,,
1,2,5823.00,0.97,1.02,0.060,,4.47,,0.0174,
1,2,5823.00,0.97,1.02,0.060,,4.47,,0.0097,
1,2,5823.00,0.97,1.02,0.060,,4.47,,0.0174,
1,2,5833.00,1.18,1.05,,0.162,4.32,,0.9012,
1,2,5760.00,0.92,0.94,,,4.48,4.700,,
1,2,,0.97,1.02,,,,,,
1,2,5823.00,0.97,1.02,0.060,,4.47,,0.0174,
1,2,6215.00,0.96,1.03,-0.300,,4.49,,0.8821,
1,2,5995.00,1.18,1.10,,0.213,4.33,,0.9328,
1,2,5995.00,1.18,1.10,,0.213,4.33,,0.9328,
1,2,6215.00,0.96,1.03,-0.300,,4.49,,0.8821,
1,2,5922.00,1.14,1.08,0.110,,4.30,,,
1,2,5791.00,1.34,1.00,0.020,,4.18,,0.8730,
1,2,6215.00,0.96,1.03,-0.300,,4.49,,0.8821,
1,2,6235.00,1.03,1.11,,,4.46,0.200,,
1,2,6215.00,0.96,1.03,-0.300,,4.49,,1.1516,
1,2,5922.00,1.14,1.08,0.110,,4.30,,,
1,2,6215.00,0.96,1.03,-0.300,,4.49,,1.1516,
1,2,6235.00,1.03,1.11,,,4.46,0.200,,
1,2,5995.00,1.18,1.10,,0.213,4.33,,0.9328,
1,2,6215.00,0.96,1.03,-0.300,,4.49,,1.1516,
1,2,5995.00,1.18,1.10,,0.213,4.33,,0.9328,
1,2,5791.00,1.34,1.00,0.020,,4.18,,0.6907,
1,4,5355.00,0.80,0.90,0.000,,4.58,,3.1304,
1,4,5191.00,0.83,0.84,0.080,,4.53,,1.8516,
1,4,5214.00,0.86,0.89,,-0.308,4.52,,1.9770,
1,4,5355.00,0.80,0.90,0.000,,4.58,,3.1304,
1,4,5355.00,0.80,0.90,0.000,,4.58,,3.1304,
1,4,5233.00,0.83,0.90,,,,,,
1,4,5319.00,0.75,0.85,,,4.62,0.800,,
1,4,5214.00,0.86,0.89,,-0.308,4.52,,1.9770,
1,3,4442.00,0.70,0.70,,-0.763,4.59,,2.8392,
1,3,4442.00,0.70,0.70,,-0.763,4.59,,2.8392,
1,3,4397.00,0.58,0.57,-0.580,,4.67,,38.1846,
1,3,4397.00,0.58,0.57,-0.580,,4.67,,38.1846,
1,3,4402.00,0.57,0.57,-0.580,,4.68,,1.6952,
1,3,4413.00,0.67,0.68,,,,,,
1,3,4397.00,0.58,0.57,-0.580,,4.67,,38.1846,
1,1,5545.00,0.86,0.95,,,,,,
1,1,5543.00,0.89,1.00,0.210,,4.54,,2.0822,
1,1,5381.00,0.95,0.93,0.110,-0.169,4.45,,1.5415,
1,1,5381.00,0.95,,,,4.45,,,
1,1,5543.00,0.89,1.00,0.210,,4.54,,2.0822,
1,1,5543.00,0.89,1.00,0.210,,4.54,,2.0822,
1,1,5545.00,0.87,,,,,,,
1,1,5525.00,0.88,0.97,0.120,,4.53,1.700,,
1,1,5543.00,0.89,1.00,0.210,,4.54,,2.0943,
1,1,5381.00,0.95,0.93,0.110,-0.169,4.45,,1.5415,
1,1,5381.00,0.95,0.93,0.110,-0.169,4.45,,1.5415,
1,1,5595.00,0.82,0.92,,,4.58,0.400,,
1,2,6338.00,0.85,0.92,-0.800,,4.54,,8.5536,
1,2,6001.00,1.25,0.86,,,,,,
1,2,6338.00,0.85,0.92,-0.800,,4.54,,8.5536,
1,2,6338.00,0.85,0.92,-0.800,,4.54,,8.5536,
1,2,5997.65,1.31,1.11,-0.543,0.300,4.25,,0.6988,
1,2,6355.00,0.85,0.93,-0.800,,4.55,,0.9459,
1,2,6338.00,0.85,0.92,-0.800,,4.54,,1.5285,
1,2,6338.00,0.85,0.92,-0.800,,4.54,,1.5285,
1,2,6001.00,1.25,0.86,,,,,,
1,2,5997.65,1.31,1.11,-0.543,0.300,4.25,,0.6988,
1,8,6080.00,1.20,1.20,-0.120,,4.40,,,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
1,8,6330.00,1.07,1.14,,,4.43,0.530,,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
1,8,5970.00,1.20,1.09,0.100,,4.32,,1.0627,
1,8,6238.00,1.05,0.97,-0.400,,4.38,,1.1823,
1,8,6238.00,1.05,0.97,-0.400,,4.38,,1.1823,
1,8,6015.00,1.21,,,,,,,
1,8,6080.00,1.20,1.20,-0.120,,4.40,,,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
1,8,6330.00,1.07,1.14,,,4.43,0.530,,
1,8,5970.00,1.20,1.09,0.100,,4.32,,1.2099,
1,8,6238.00,1.05,0.97,-0.400,,4.38,,1.4034,
1,8,6015.00,1.21,,,,,,,
1,8,6238.00,1.05,0.97,-0.400,,4.38,,1.4034,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
1,8,6238.00,1.05,0.97,-0.400,,4.38,,1.0425,
1,8,6015.00,1.21,,,,,,,
1,8,6330.00,1.07,1.14,,,4.43,0.530,,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
1,8,6238.00,1.05,0.97,-0.400,,4.38,,1.0425,
1,8,5970.00,1.20,1.09,0.100,,4.32,,1.0493,
1,8,6080.00,1.20,1.20,-0.120,,4.40,,,
1,8,6015.00,1.21,,,,,,,
1,8,6330.00,1.07,1.14,,,4.43,0.530,,
1,8,6238.00,1.05,0.97,-0.400,,4.38,,1.0711,
1,8,6080.00,1.20,1.20,-0.120,,4.40,,,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
1,8,5970.00,1.20,1.09,0.100,,4.32,,1.0576,
1,8,6238.00,1.05,0.97,-0.400,,4.38,,1.0711,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
1,8,6080.00,1.20,1.20,-0.120,,4.40,,,
1,8,6015.00,1.21,,,,,,,
1,8,5970.00,1.20,1.09,0.100,,4.32,,0.0407,
1,8,6238.00,1.05,0.97,-0.400,,4.38,,0.7662,
1,8,6238.00,1.05,0.97,-0.400,,4.38,,0.7662,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
1,8,6238.00,1.05,0.97,-0.400,,4.38,,1.2490,
1,8,6238.00,1.05,0.97,-0.400,,4.38,,1.2490,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
1,8,5970.00,1.20,1.09,0.100,,4.32,,1.2223,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
1,8,6015.00,1.21,,,,,,,
1,8,6330.00,1.07,1.14,,,4.43,0.530,,
1,8,6080.00,1.20,1.20,-0.120,,4.40,,,
1,8,6080.00,1.20,1.20,-0.120,,,,,
1,8,6080.00,1.20,1.20,-0.120,,,,,
1,8,6238.00,1.05,0.97,-0.400,,4.38,,0.7265,
1,8,6031.13,1.25,1.12,0.083,0.269,4.30,,0.8129,
