pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_gaiamag
Kepler-1357 b,Kepler-1357,1,1,0,3.0091324,0.041,1.28,0.114,2.18,0.00687,M-R relationship,0,449.98,1177,0,,5597,0.9,0.93,-0.06,[Fe/H],-0.146,4.5,4.57,2.16164,,,,15.2205
Kepler-1358 b,Kepler-1358,1,1,0,7.06317341,0.0656,1.12,0.1,1.46,0.00459,M-R relationship,0,98.83,827,0,,5181,0.79,0.82,-0.08,[Fe/H],-0.413,4.57,5.13,3.96348,,,,14.5403
Kepler-1359 b,Kepler-1359,1,1,0,59.4970952,0.2769,2.83,0.252,8.4,0.0264,M-R relationship,0,2.45,369,0,,4709,0.72,0.78,0.11,[Fe/H],-0.717,4.62,2.34,2.71881,,,,15.7534
Kepler-1360 b,Kepler-1360,1,1,0,40.5286413,0.2866,3.4,0.303,11.5,0.0361,M-R relationship,0,82.56,933,0,,6778,1.83,1.51,0.06,[Fe/H],0.923,4.09,1.55,0.25729,,,,13.8804
Kepler-1361 b,Kepler-1361,1,1,0,3.57554956,0.0431,0.86,0.077,0.566,0.00178,M-R relationship,0,186.07,1061,0,,5131,0.79,0.83,0,[Fe/H],-0.437,4.57,4.9,1.65693,3.4,,-33.4,13.9169
Kepler-1362 b,Kepler-1362,1,1,0,136.205626,0.4626,2.6,0.232,7.27,0.0229,M-R relationship,0,1.01,248,0,,4857,0.74,0.8,0.06,[Fe/H],-0.601,4.6,3.09,4.98007,,,,15.8246
Kepler-1363 b,Kepler-1363,1,1,0,2.94194094,0.0363,1.25,0.112,2.1,0.0066,M-R relationship,0,191.92,988,0,,4839,0.72,0.76,-0.09,[Fe/H],-0.626,4.61,4.17,3.10018,,,,15.2923
Kepler-1364 b,Kepler-1364,1,1,0,13.32196237,0.1284,2.15,0.192,5.27,0.0166,M-R relationship,0,672.06,1299,0,,6805,1.79,1.49,0.04,[Fe/H],0.792,4.1,1.58,0.12368,,,,13.1858
Kepler-1365 b,Kepler-1365,1,2,0,7.69993485,0.075,0.92,0.082,0.721,0.00227,M-R relationship,0,456.25,969,0,,5770,1.05,1,0.03,[Fe/H],0.425,4.39,6.03,0.28483,,,,13.3798
Kepler-1365 c,Kepler-1365,1,2,0,4.77468005,0.0545,0.8,0.071,0.437,0.00137,M-R relationship,0,864.04,1137,0,,5770,1.05,1,0.03,[Fe/H],0.425,4.39,6.03,0.28483,,,,13.3798
Kepler-1366 b,Kepler-1366,1,1,0,2.16457097,0.0273,1.43,0.128,2.63,0.00829,M-R relationship,0,134.98,783,0,,4070,0.6,0.62,-0.02,[Fe/H],-0.996,4.68,3.98,2.87389,,,,15.8887
Kepler-1367 b,Kepler-1367,1,1,0,1.57409027,0.0236,0.92,0.082,0.721,0.00227,M-R relationship,0,225.23,998,0,,4106,0.6,0.62,-0.06,[Fe/H],-0.905,4.68,3.89,3.35551,,,,15.5576
Kepler-1368 b,Kepler-1368,1,1,0,0.67564949,0.0153,1.65,0.147,3.36,0.0106,M-R relationship,0,4849.26,2085,0,,5906,1.08,1.07,0.1,[Fe/H],0.051,4.4,3.47,0.7641,,,,15.8729
Kepler-1369 b,Kepler-1369,1,1,0,25.873148,0.1741,2.69,0.24,7.7,0.0242,M-R relationship,0,37.16,667,0,,5761,0.99,0.99,0,[Fe/H],-0.01,4.45,4.07,1.09037,,,,15.3498
Kepler-137 b,Kepler-137,1,2,0,8.436387,0.077,1.47,0.131,2.76,0.00869,M-R relationship,0,86.33,742,0,,5187,0.8,0.91,-0.02,[Fe/H],-0.292,4.55,4.27,2.00607,5.4,,-28.1,12.9414
Kepler-137 c,Kepler-137,1,2,0,18.735753,0.13,1.88,0.168,4.19,0.0132,M-R relationship,0,29.77,568,0,,5187,0.8,0.91,-0.02,[Fe/H],-0.292,4.55,4.27,2.00607,5.4,,-28.1,12.9414
Kepler-1370 b,Kepler-1370,1,2,0,20.2641684,0.1495,1.84,0.164,4.04,0.0127,M-R relationship,0,132.59,770,0,,6202,1.29,1.19,0.05,[Fe/H],0.458,4.29,2.88,2.23359,,,,13.6743
Kepler-1370 c,Kepler-1370,1,2,0,7.44142113,0.0767,1.27,0.113,2.15,0.00678,M-R relationship,0,503.72,1075,0,,6202,1.29,1.19,0.05,[Fe/H],0.458,4.29,2.88,0.60786,,,,13.6743
Kepler-1371 b,Kepler-1371,1,2,0,3.4462039,0.0393,0.73,0.065,0.315,0.00099,M-R relationship,0,414.76,1015,0,,5361,0.83,0.87,-0.07,[Fe/H],-0.198,4.55,4.37,3.54402,,,,13.8344
Kepler-1371 c,Kepler-1371,1,2,0,2.00541269,0.0274,0.64,0.057,0.196,0.00062,M-R relationship,0,853.27,1216,0,,5361,0.83,0.87,-0.07,[Fe/H],-0.198,4.55,4.37,2.81947,,,,13.8344
Kepler-1372 b,Kepler-1372,1,1,0,1.31155557,0.024,1.27,0.113,2.15,0.00678,M-R relationship,0,2176.36,1655,0,,5677,0.97,0.98,0.05,[Fe/H],0.012,4.46,5.01,1.37652,,,,15.3493
Kepler-1373 b,Kepler-1373,1,1,0,1.29123275,0.0242,1.16,0.103,1.65,0.00521,M-R relationship,0,10436.6,1887,0,,6299,1.33,1.22,0.03,[Fe/H],0.774,4.27,2.51,1.38072,,,,14.0717
Kepler-1374 b,Kepler-1374,1,1,0,10.65276707,0.0918,2.29,0.204,5.86,0.0184,M-R relationship,0,59.79,737,0,,5323,0.81,0.85,-0.13,[Fe/H],-0.368,4.56,4.47,4.86052,,,,15.93
Kepler-1375 b,Kepler-1375,1,1,0,3.3004192,0.0471,1.74,0.155,3.68,0.0116,M-R relationship,0,2948.36,1543,0,,6704,1.78,1.47,0.09,[Fe/H],0.822,4.11,1.66,0.29134,,,,13.7103
Kepler-1376 b,Kepler-1376,1,1,0,5.30880656,0.0598,1.05,0.094,1.16,0.00364,M-R relationship,0,278.9,1042,0,,5659,0.97,0.98,0.07,[Fe/H],-0.071,4.46,4.68,1.68058,,,,14.6721
Kepler-1377 b,Kepler-1377,1,1,0,0.74092842,0.0153,1.25,0.112,2.1,0.0066,M-R relationship,0,2909.21,1873,0,,5218,0.82,0.86,0.05,[Fe/H],-0.293,4.55,5.01,4.41831,,,,15.8887
Kepler-1378 b,Kepler-1378,1,1,0,11.95398936,0.0885,2.2,0.196,5.48,0.0172,M-R relationship,0,14.87,525,0,,4407,0.67,0.7,0.03,[Fe/H],-0.903,4.63,6.46,3.19495,,,,16.0538
Kepler-1379 b,Kepler-1379,1,1,0,0.88184115,0.0171,1.3,0.116,2.24,0.00705,M-R relationship,0,1600.05,1564,0,,5188,0.79,0.83,-0.04,[Fe/H],-0.403,4.57,5.01,2.5447,,,,15.8526
Kepler-138 b,Kepler-138,1,3,0,10.3126,0.076,0.522,0.047,0.066,0.00021,Mass,0.006,6.81,443,1,M1 V,3841,0.44,0.52,-0.28,[Fe/H],-1.222,4.89,4.68,9.5,,,-36.33,12.4715
Kepler-138 c,Kepler-138,1,3,0,13.7813,0.0906,1.197,0.107,1.97,0.0062,Mass,0.011,4.63,402,1,M1 V,3841,0.44,0.52,-0.28,[Fe/H],-1.222,4.89,4.68,9.5,,,-36.33,12.4715
Kepler-138 d,Kepler-138,1,3,0,23.0881,0.12781,1.212,0.108,0.64,0.00201,Mass,0.027,2.32,338,1,M1 V,3841,0.44,0.52,-0.28,[Fe/H],-1.222,4.89,4.68,9.5,,,-36.33,12.4715
Kepler-1380 b,Kepler-1380,1,1,0,10.3108245,0.0917,1.43,0.128,2.63,0.00829,M-R relationship,0,90.1,786,0,,5570,0.94,0.96,0.1,[Fe/H],0.473,4.48,4.79,0.48821,,,,15.6136
Kepler-1381 b,Kepler-1381,1,1,0,25.3842686,0.1728,2.25,0.201,5.69,0.0179,M-R relationship,0,29.7,649,0,,5747,0.94,0.96,-0.1,[Fe/H],-0.117,4.48,4.07,4.58247,,,,15.4776
Kepler-1382 b,Kepler-1382,1,1,0,16.3583055,0.1404,1.88,0.168,4.19,0.0132,M-R relationship,0,198.47,959,0,,6161,1.72,1.36,0.3,[Fe/H],0.572,4.1,2.75,0.14721,,,,12.7575
Kepler-1383 b,Kepler-1383,1,1,0,13.9093583,0.1179,1.41,0.126,2.57,0.00809,M-R relationship,0,231.4,928,0,,6370,1.44,1.26,0.03,[Fe/H],0.568,4.23,2.24,0.37945,,,,13.7077
Kepler-1384 b,Kepler-1384,1,1,0,15.36262753,0.1126,1.94,0.173,4.42,0.0139,M-R relationship,0,32.23,608,0,,4919,0.74,0.78,-0.06,[Fe/H],-0.539,4.6,4.57,2.40021,,,,15.446
Kepler-1385 b,Kepler-1385,1,1,0,2.88879862,0.0415,0.85,0.076,0.543,0.00171,M-R relationship,0,1591.48,1423,0,,5732,1.29,1.15,0.41,[Fe/H],0.45,4.27,4.37,0.23462,,,-11.1,12.8443
Kepler-1386 b,Kepler-1386,1,1,0,6.73972381,0.068,1.24,0.111,2.07,0.00651,M-R relationship,0,196.53,1011,0,,5733,1.03,1.02,0.11,[Fe/H],0.009,4.41,5.01,0.83219,6.6,,-45.53,14.4168
Kepler-1387 b,Kepler-1387,1,1,0,2.27952666,0.031,0.93,0.083,0.749,0.00236,M-R relationship,0,300.31,1123,0,,5046,0.77,0.82,0.02,[Fe/H],-0.56,4.58,4.37,4.67079,,,,14.5804
Kepler-1388 b,Kepler-1388,1,4,0,12.2854603,0.0882,2.59,0.231,7.22,0.0227,M-R relationship,0,17.67,434,1,,4098,0.61,0.63,0.02,[Fe/H],-1.107,4.67,4.47,3.82796,,,,16.2941
Kepler-1388 c,Kepler-1388,1,4,0,5.53608151,0.0519,2.26,0.202,5.73,0.018,M-R relationship,0,51.04,566,0,,4098,0.61,0.63,0.02,[Fe/H],-1.107,4.67,4.47,3.82796,,,,16.2941
