pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,ttv_flag,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_gaiamag
K2-239 c,K2-239,1,3,0,7.775,0.0576,1,0.089,0.972,0.00306,M-R relationship,,,427,0,M3.0 V,3420,0.36,0.4,-0.1,[Fe/H],-1.796,4.9,,19.15052,,,,13.4367
K2-239 d,K2-239,1,3,0,10.115,0.0685,1.1,0.098,1.37,0.0043,M-R relationship,,,399,0,M3.0 V,3420,0.36,0.4,-0.1,[Fe/H],-1.796,4.9,,19.15052,,,,13.4367
K2-24 b,K2-24,1,2,0,20.88977,0.154,5.4,0.482,19,0.05978,Mass,0.06,60.1,709,1,G9 V,5625,1.16,1.07,0.34,[Fe/H],0.158,4.29,5.1,0.89,2,,1.18,10.9072
K2-24 c,K2-24,1,2,0,42.3391,0.247,7.5,0.669,15.4,0.04845,Mass,0.07,23.4,560,1,G9 V,5625,1.16,1.07,0.34,[Fe/H],0.158,4.29,5.1,0.89,2,,1.18,10.9072
K2-240 b,K2-240,1,2,0,6.034,0.0513,2,0.178,4.66,0.0147,M-R relationship,,,586,0,M0.5 V,3810,0.54,0.58,-0.1,[Fe/H],-1.276,4.7,,4.32946,,10.8,0.61,12.6212
K2-240 c,K2-240,1,2,0,20.523,0.1159,1.8,0.161,3.89,0.0123,M-R relationship,,,389,0,M0.5 V,3810,0.54,0.58,-0.1,[Fe/H],-1.276,4.7,,4.32946,,10.8,0.61,12.6212
K2-241 b,K2-241,1,1,0,26.8199,0.1567,2.55,0.227,7.04,0.0221,M-R relationship,,,507,0,,5262,0.75,0.71,-0.44,[Fe/H],-0.441,4.54,,3.10999,2.08,,-8.68,11.7562
K2-242 b,K2-242,1,1,0,6.51389,0.0494,2.54,0.227,6.99,0.022,M-R relationship,,,416,0,,3459,0.37,0.38,-0.01,[Fe/H],-1.808,4.89,,10.34168,,,,15.3818
K2-243 b,K2-243,1,2,0,11.54182,0.1087,2.17,0.194,5.35,0.0168,M-R relationship,,,1035,0,,6570,1.39,1.29,-0.03,[Fe/H],0.446,4.26,,0.35249,,,5.79,10.7424
K2-243 c,K2-243,1,2,0,24.94598,0.1817,2.01,0.179,4.7,0.0148,M-R relationship,,,801,0,,6570,1.39,1.29,-0.03,[Fe/H],0.446,4.26,,0.35249,,,5.79,10.7424
K2-244 b,K2-244,1,1,0,21.06884,0.1418,1.75,0.156,3.71,0.0117,M-R relationship,,,638,0,,5677,0.92,0.86,-0.29,[Fe/H],-0.097,4.44,,2.1153,3.69,,-19.25,11.6317
K2-245 b,K2-245,1,1,0,11.89307,0.0959,4.34,0.387,17.4,0.0546,M-R relationship,,,923,0,,5793,1.25,0.83,-0.45,[Fe/H],0.193,4.16,,1.0187,4.62,,29.75,12.5639
K2-246 b,K2-246,1,1,0,5.76918,0.0602,3.49,0.311,12,0.0377,M-R relationship,,,977,0,,5610,0.94,0.87,-0.19,[Fe/H],-0.141,4.43,,1.68077,2.9,,,14.3512
K2-247 b,K2-247,1,2,0,2.25021,0.0304,2.12,0.189,5.14,0.0162,M-R relationship,,,979,0,,4667,0.69,0.74,-0.08,[Fe/H],-0.833,4.63,,2.0381,,,,14.3583
K2-247 c,K2-247,1,2,0,6.49424,0.0615,2.19,0.195,5.43,0.0171,M-R relationship,,,688,0,,4667,0.69,0.74,-0.08,[Fe/H],-0.833,4.63,,2.0381,,,,14.3583
K2-248 b,K2-248,1,1,0,7.17256,0.0699,2.57,0.229,7.13,0.0224,M-R relationship,,,886,0,,5528,0.92,0.88,-0.1,[Fe/H],-0.171,4.45,,1.82647,2.6,,,13.2616
K2-249 b,K2-249,1,1,0,12.409,0.1151,2.79,0.249,8.2,0.0258,M-R relationship,,,1061,0,,6504,1.57,1.32,0.04,[Fe/H],0.366,4.16,,0.31728,,,-23.71,12.4497
K2-25 b,K2-25,1,1,0,3.484552,,3.43,0.306,11.6,0.0366,M-R relationship,0.27,,,0,M4.5,3180,0.29,0.29,0.15,[Fe/H],-2.076,4.94,,15.9,7.8,,38.64,14.3817
K2-250 b,K2-250,1,1,0,4.01457,0.0459,2.44,0.218,6.53,0.0205,M-R relationship,,,958,0,,5172,0.81,0.8,-0.09,[Fe/H],-0.404,4.53,,1.89682,2.2,,,13.9725
K2-251 b,K2-251,1,1,0,9.30075,0.0694,2.35,0.21,6.12,0.0193,M-R relationship,,,437,0,,3717,0.49,0.52,-0.04,[Fe/H],-1.415,4.76,,5.7438,,,,14.7702
K2-252 b,K2-252,1,1,0,13.81513,0.1041,1.74,0.155,3.68,0.0116,M-R relationship,,,639,0,,5152,0.82,0.79,-0.09,[Fe/H],-0.402,4.5,,2.04024,2.2,,13.72,12.6201
K2-253 b,K2-253,1,1,0,4.00167,0.0506,12.67,1.13,,,Msini,,,1238,0,,6027,1.1,1.08,0,[Fe/H],-0.072,4.39,,1.01569,,,,14.7042
K2-254 b,K2-254,1,2,0,4.09639,0.0448,1.63,0.145,3.29,0.0104,M-R relationship,,,791,0,,4629,0.67,0.71,-0.14,[Fe/H],-0.765,4.64,,2.71073,,,,13.7427
K2-254 c,K2-254,1,2,0,12.11839,0.0923,2.19,0.195,5.43,0.0171,M-R relationship,,,551,0,,4629,0.67,0.71,-0.14,[Fe/H],-0.765,4.64,,2.71073,,,,13.7427
K2-255 b,K2-255,1,1,0,1.96417,0.0274,2.9,0.259,8.75,0.0275,M-R relationship,,,1034,0,,4676,0.69,0.71,-0.14,[Fe/H],-0.72,4.62,,1.94835,2.46,,,13.3087
K2-256 b,K2-256,1,1,0,5.52011,0.0578,2.63,0.235,7.41,0.0233,M-R relationship,,,845,0,,5219,0.78,0.84,-0.1,[Fe/H],-0.465,4.58,,3.60257,,,,14.6992
K2-257 b,K2-257,1,1,0,1.60588,0.0216,0.83,0.074,0.498,0.00157,M-R relationship,,,789,0,,3725,0.5,0.52,-0.03,[Fe/H],-1.381,4.76,,5.56654,,,12.59,12.8602
K2-258 b,K2-258,1,1,0,19.0921,0.149,3,0.268,9.27,0.0292,M-R relationship,,,831,0,,6351,1.31,1.21,0.01,[Fe/H],0.272,4.29,,0.566,,,,13.1388
K2-259 b,K2-259,1,1,0,15.48043,0.1271,2.32,0.207,5.99,0.0189,M-R relationship,,,795,0,,6059,1.13,1.14,0.16,[Fe/H],0.179,4.39,,1.00719,5.23,,,12.375
K2-26 b,K2-26,1,1,0,14.5665,0.0962,2.67,0.238,7.61,0.0239,M-R relationship,,5.8,430,0,M1.0 V,3785,0.52,0.56,-0.13,[Fe/H],-1.31,4.72,1,3.92,,,95.34,13.7519
K2-260 b,K2-260,1,1,0,2.6266657,0.0404,17.396,1.552,451.3186,1.42,Mass,0,,1957,0,F6 V,6367,1.69,1.39,-0.14,[Fe/H],0.543,4.15,1.9,0.4005,16,,29.07,12.4667
K2-261 b,K2-261,1,1,0,11.63344,0.102,9.528,0.85,70.87609,0.223,Mass,0.39,,1080,0,G7 IV/V,5537,1.65,1.1,0.36,[Fe/H],0.372,4.21,8.8,0.35,2.8,,3.28,10.4594
K2-263 b,K2-263,1,1,0,50.818947,0.2573,2.41,0.215,14.8,0.04657,Mass,0.14,,470,0,G9 V,5368,0.85,0.88,-0.08,[m/H],-0.26,4.51,7,2.02,2,,30,11.4055
K2-264 b,K2-264,1,2,0,5.840002,0.05023,2.231,0.199,5.61,0.0176,M-R relationship,0.5,,496,0,M2.5 V,3660,0.47,0.5,-0.013,[Fe/H],-1.481,4.78,,6.61,,22.2,26,15.6625
K2-264 c,K2-264,1,2,0,19.660302,0.11283,2.668,0.238,7.6,0.0239,M-R relationship,0.45,,331,0,M2.5 V,3660,0.47,0.5,-0.013,[Fe/H],-1.481,4.78,,6.61,,22.2,26,15.6625
K2-268 b,K2-268,1,2,0,2.151894,0.0308,1.41,0.126,2.57,0.00809,M-R relationship,,,1121,0,,5068,0.78,0.84,0.03,[Fe/H],-0.471,4.59,,2.2994,,,,13.5627
K2-268 c,K2-268,1,2,0,9.326841,0.0819,2.69,0.24,7.7,0.0242,M-R relationship,,,688,0,,5068,0.78,0.84,0.03,[Fe/H],-0.429,4.59,,2.2994,,,,13.5627
K2-269 b,K2-269,1,1,0,4.144965,0.0531,1.57,0.14,3.09,0.00972,M-R relationship,,,1429,0,,6209,1.45,1.16,-0.08,[Fe/H],0.468,4.18,,1.13,,,-3.2,11.377
K2-270 b,K2-270,1,2,0,1.543069,0.0247,1.38,0.123,2.48,0.0078,M-R relationship,,,1203,0,,4877,0.77,0.85,0.26,[Fe/H],-0.558,4.59,,1.88623,,,,13.4701
K2-270 c,K2-270,1,2,0,4.400028,0.0497,2.95,0.263,9.01,0.0283,M-R relationship,,,848,0,,4877,0.77,0.85,0.26,[Fe/H],-0.518,4.59,,1.88623,,,,13.4701
K2-271 b,K2-271,1,1,0,8.562421,0.077,7.28,0.649,41.8,0.131,M-R relationship,,,893,0,,5644,0.99,0.83,-0.3,[Fe/H],-0.05,4.37,,2.284,,,,13.6582
K2-272 b,K2-272,1,1,0,14.453533,0.1081,2.91,0.26,8.8,0.0277,M-R relationship,,,655,0,,5419,0.81,0.81,-0.28,[Fe/H],-0.302,4.53,,2.577,,,,13.6668
K2-273 b,K2-273,1,1,0,11.716332,0.0974,4.42,0.394,17.9,0.0563,M-R relationship,,,672,0,,5200,0.84,0.9,0.2,[Fe/H],-0.353,4.55,,0.037,,,,13.1461
K2-274 b,K2-274,1,1,0,14.129714,0.1064,2.2,0.196,5.48,0.0172,M-R relationship,,,589,0,,5065,0.74,0.81,-0.13,[Fe/H],-0.509,4.61,,2.98,,,,12.8852
K2-275 b,K2-275,1,2,0,3.280961,0.04,2.24,0.2,5.65,0.0178,M-R relationship,,,905,0,,4812,0.73,0.79,0,[Fe/H],-0.593,4.61,,2.73722,,,-7.35,11.8139
K2-275 c,K2-275,1,2,0,8.438756,0.075,2.34,0.209,6.08,0.0191,M-R relationship,,,660,0,,4812,0.73,0.79,0,[Fe/H],-0.593,4.61,,2.73722,,,-7.35,11.8139
K2-276 b,K2-276,1,1,0,18.718269,0.1291,3.77,0.336,13.7,0.043,M-R relationship,,,583,0,,5139,0.85,0.82,0.07,[Fe/H],-0.405,4.49,,0.505,,,,14.3792
K2-277 b,K2-277,1,1,0,6.326763,0.0675,2.07,0.185,4.94,0.0155,M-R relationship,,,958,0,,5741,0.97,1.02,0.11,[Fe/H],-0.052,4.48,,6.936,,,7.52,10.1214
K2-278 b,K2-278,1,1,0,3.334966,0.0488,2.98,0.266,9.17,0.0288,M-R relationship,,,1711,0,,6747,1.61,1.4,0,[Fe/H],0.399,4.17,,0.413,,,,13.2538
K2-279 b,K2-279,1,1,0,7.122605,0.067,1.21,0.108,1.92,0.00606,M-R relationship,,,879,0,,5558,0.86,0.79,-0.37,[Fe/H],-0.205,4.46,,1.13,,,3.29,11.5907
K2-28 b,K2-28,1,1,0,2.260455,0.0214,2.32,0.207,5.99,0.0189,M-R relationship,0,30.1,568,0,M4,3214,0.29,0.26,0.26,[Fe/H],-1.94,4.93,,15.2,,,,14.6799
K2-280 b,K2-280,1,1,0,19.895202,0.1488,7.67,0.684,45.6,0.144,M-R relationship,,,744,0,,5742,1.28,1.11,0.3,[Fe/H],0.14,4.26,,0.259,,,-0.15,12.3604
K2-281 b,K2-281,1,1,0,8.687721,0.0773,8.18,0.73,50.9,0.16,M-R relationship,,,665,0,,4812,0.76,0.82,0.22,[Fe/H],-0.647,4.59,,4.354,,,,14.7677
K2-282 b,K2-282,1,2,0,4.169836,0.0499,2.82,0.252,8.35,0.0263,M-R relationship,,,1057,0,,5523,0.94,0.95,0.15,[Fe/H],-0.215,4.47,,1.442,,,,13.8183
K2-283 b,K2-283,1,1,0,1.921036,0.0291,3.52,0.314,12.2,0.0383,M-R relationship,,,1186,0,,5060,0.82,0.89,0.28,[Fe/H],-0.524,4.56,,2.861,,,,14.1316
K2-284 b,K2-284,1,1,0,4.795069,0.04771,2.78,0.248,8.15,0.0256,M-R relationship,0.078,42.6,653,0,,4140,0.61,0.63,0,[Fe/H],-1.013,4.67,0.12,3.91,3.54,8.88,16.96,12.8598
K2-285 b,K2-285,1,4,0,3.471745,0.03817,2.59,0.231,9.68,0.03046,Mass,0,234.31,1089,0,K2 V,4975,0.79,0.83,0,[Fe/H],-0.422,4.4,,2.512,3.9,,15.88,11.804
K2-285 c,K2-285,1,4,0,7.138048,0.0824,3.53,0.315,15.68,0.04933,Mass,0,50.35,741,0,K2 V,4975,0.79,0.83,0,[Fe/H],-0.422,4.4,,2.512,3.9,,15.88,11.804
K2-285 d,K2-285,1,4,0,10.45582,0.1178,2.48,0.221,6.5,0.02045,Mass,0,24.61,620,0,K2 V,4975,0.79,0.83,0,[Fe/H],-0.422,4.4,,2.512,3.9,,15.88,11.804
K2-285 e,K2-285,1,4,0,14.76289,0.18041,1.95,0.174,10.7,0.03367,Mass,0,10.5,501,0,K2 V,4975,0.79,0.83,0,[Fe/H],-0.422,4.4,,2.512,3.9,,15.88,11.804
K2-286 b,K2-286,1,1,0,27.359,0.1768,2.1,0.187,5.06,0.0159,M-R relationship,,,347,0,M0 V,3926,0.62,0.64,0,[Fe/H],-1.046,4.7,,3.41329,,23.8,-17.41,12.1652
K2-287 b,K2-287,1,1,0,14.893291,0.1206,9.494,0.847,100.11645,0.315,Mass,0.478,,804,0,,5695,1.07,1.06,0.2,[Fe/H],-0.108,4.4,4.5,1.217,3.2,,32.93,11.067
K2-289 b,K2-289,1,1,0,13.156969,0.107,9.1,0.812,61,0.192,M-R relationship,,,753,0,,5529,1.02,0.95,0.162,[Fe/H],-0.505,4.39,,1.24,,,,13.7943
K2-291 b,K2-291,1,1,0,2.225177,0.03261,1.589,0.142,6.49,0.02042,Mass,0,633,,0,,5520,0.9,0.93,0.08,[Fe/H],-0.166,4.5,3.72,1.77,2,,25.13,9.86639
K2-292 b,K2-292,1,1,0,16.9841,0.13,2.63,0.235,24.5,0.07709,Mass,0.04,67,795,0,G3 V,5725,1.09,1,0.07,[Fe/H],0.093,4.33,6.8,1.14,4.6,,-28.18,9.75597
K2-293 b,K2-293,1,1,0,13.1225,,2.45,0.219,6.57,0.0207,M-R relationship,,,750,0,,5532,0.95,0.96,0.218,[M/H],-0.18,4.52,,1.68821,,,,13.1611
K2-294 b,K2-294,1,1,0,2.50387,,1.66,0.148,3.39,0.0107,M-R relationship,,,1425,0,,5612,1.2,0.99,0.194,[M/H],0.088,4.2,,0.8926,,,42.93,12.37
K2-295 b,K2-295,1,1,0,4.024867,0.0451,10.054,0.897,106.47305,0.335,Mass,0,,852,0,K5 V,4444,0.7,0.74,0.14,[Fe/H],-0.716,4.63,,3.043,2.2,,-16.62,13.5184
K2-3 b,K2-3,1,3,0,10.054626,0.074,1.98,0.177,6.48,0.02039,Mass,0,5.8,504,0,M0.0&plusmn0.5 V,3896,0.56,0.6,-0.32,[Fe/H],-1.15,4.73,1,5.05,,40,30.48,11.4785
K2-3 c,K2-3,1,3,0,24.646582,0.1345,1.56,0.139,2.14,0.00673,Mass,0,1.77,374,0,M0.0&plusmn0.5 V,3896,0.56,0.6,-0.32,[Fe/H],-1.15,4.73,1,5.05,,40,30.48,11.4785
K2-3 d,K2-3,1,3,0,44.55646,0.2097,1.53,0.136,2.8,0.00881,Mass,0,0.8,282,0,M0.0&plusmn0.5 V,3896,0.56,0.6,-0.32,[Fe/H],-1.15,4.73,1,5.05,,40,30.48,11.4785
K2-30 b,K2-30,1,1,0,4.098503,0.04839,11.646,1.039,184.02357,0.579,Mass,0,299,1092,0,G6 V,5425,0.84,0.9,-0.15,[Fe/H],-0.256,4.54,3.9,2.11,1.4,,35.43,13.2056
K2-308 b,K2-308,1,1,0,3.38628,,9.916,0.884,70.6,0.222,M-R relationship,,,,0,,6100,1.24,1.09,-0.1,[Fe/H],0.283,3.94,,,29,,8.97,14.8949
K2-315 b,K2-315,1,1,0,3.1443189,,0.95,0.085,0.809,0.00254,M-R relationship,,7.45,460,0,M(3.5+/-0.5) V,3300,0.2,0.17,-0.24,[Fe/H],-2.387,5.09,1,32.6,5,,6.25,15.6791
K2-316 b,K2-316,1,2,0,1.133,0.0147,1.33,0.119,2.33,0.00733,M-R relationship,,,841,0,,3436,0.38,0.41,,,-1.83,4.89,,10.82654,,,,15.514
K2-316 c,K2-316,1,2,0,5.26,0.0582,1.83,0.163,4.01,0.0126,M-R relationship,,,423,0,,3436,0.38,0.41,,,-1.83,4.89,,10.82654,,,,15.514
K2-317 b,K2-317,1,1,0,6.22,0.0542,2.93,0.261,8.91,0.028,M-R relationship,,,432,0,,3387,0.38,0.4,,,-1.871,4.88,,11.58286,,,,16.6387
K2-318 b,K2-318,1,1,0,7.01,0.0911,1.66,0.148,3.39,0.0107,M-R relationship,,,456,0,,3851,0.55,0.56,,,-1.277,4.7,,4.49344,,,,14.3967
K2-319 b,K2-319,1,1,0,26.68,0.1516,2.79,0.249,8.2,0.0258,M-R relationship,,,641,0,,5440,0.9,0.95,,,-0.237,4.51,,1.62082,,,8.64,11.9397
K2-320 b,K2-320,1,1,0,1.995,0.0142,2.62,0.234,7.37,0.0232,M-R relationship,,,698,0,,3157,0.3,0.12,,,-2.125,4.55,,16.90184,,,,16.3554
K2-321 b,K2-321,1,1,0,2.298,0.041,1.95,0.174,4.46,0.014,M-R relationship,,,701,0,,3855,0.58,0.6,,,-1.254,4.68,,3.97279,,,-43.9,12.8241
K2-322 b,K2-322,1,1,0,8.205,0.0594,1.92,0.171,4.35,0.0137,M-R relationship,,,635,0,,4141,0.6,0.63,,,-1.039,4.68,,3.57867,,,4.18,13.3108
K2-323 b,K2-323,1,1,0,24.93,0.1275,2.1,0.187,5.06,0.0159,M-R relationship,,,318,0,,3710,0.55,0.48,,,-1.339,4.63,,4.86477,,,,14.0693
K2-324 b,K2-324,1,1,0,3.262,0.0331,2.43,0.217,6.48,0.0204,M-R relationship,,,707,0,,3752,0.51,0.52,,,-1.333,4.74,,5.31375,,,,14.5172
K2-325 b,K2-325,1,1,0,6.93,0.0419,2.2,0.196,5.48,0.0172,M-R relationship,,,423,0,,3287,0.3,0.27,,,-2.048,4.84,,14.63907,,,,16.137
K2-326 b,K2-326,1,1,0,1.256,0.0198,2.28,0.203,5.82,0.0183,M-R relationship,,,1114,0,,3924,0.69,0.51,,,-0.978,4.46,,2.80726,,,,15.0082
K2-329 b,K2-329,1,1,0,12.4551225,0.1016,8.676,0.774,82.6358,0.26,Mass,0.0697,45.7,650,0,,5282,0.82,0.9,0.098,[Fe/H],-0.325,4.57,1.8,2.3,1.9,,-19.25,12.4462
K2-33 b,K2-33,1,1,0,5.424865,0.0409,5.04,0.45,1175.971,3.7,Mass,0,,850,0,M3.3,3540,1.05,0.56,,,-0.824,4.06,0.009,0.72,8.2,6.29,-6.7,14.157
K2-34 b,K2-34,1,1,0,2.995633,0.0426,13.96,1.245,539.67534,1.698,Mass,0,,1559,0,F,6071,1.44,1.15,0.03,[Fe/H],0.4,4.18,2.88,0.675,6.31,,46.31,11.4357
K2-35 b,K2-35,1,2,0,2.399964,0.031,1.32,0.118,2.3,0.00724,M-R relationship,0.13,211,979,0,K4 V,4402.71,0.62,0.7,0.04,[Fe/H],-0.719,4.7,,2.02725,3,,,13.9152
K2-35 c,K2-35,1,2,0,5.608352,0.055,1.93,0.172,4.38,0.0138,M-R relationship,0.12,68,766,0,K4 V,4402.71,0.62,0.7,0.04,[Fe/H],-0.719,4.7,,2.02725,3,,,13.9152
K2-36 b,K2-36,1,2,0,1.422614,0.0223,1.43,0.128,3.9,0.01227,Mass,0,529,1224,0,K2 V,4916,0.72,0.79,-0.09,[Fe/H],-0.57,4.62,1.4,2.99,2,16.9,13.25,11.527
K2-36 c,K2-36,1,2,0,5.340888,0.054,3.2,0.285,7.8,0.02454,Mass,0,90,788,0,K2 V,4916,0.72,0.79,-0.09,[Fe/H],-0.57,4.62,1.4,2.99,2,16.9,13.25,11.527
K2-37 b,K2-37,1,3,0,4.44117,0.0511,1.61,0.144,3.22,0.0101,M-R relationship,,213.3,974,0,G3 V,5413,0.85,0.9,-0.03,[Fe/H],-0.469,4.52,,1.80561,2,,-0.63,12.2573
K2-37 c,K2-37,1,3,0,6.42904,0.0654,2.75,0.245,8,0.0252,M-R relationship,,130.3,861,0,G3 V,5413,0.85,0.9,-0.03,[Fe/H],-0.408,4.52,,1.80561,2,,-0.63,12.2573
K2-37 d,K2-37,1,3,0,14.09189,0.1103,2.73,0.244,7.9,0.0249,M-R relationship,,45.7,663,0,G3 V,5413,0.85,0.9,-0.03,[Fe/H],-0.469,4.52,,1.80561,2,,-0.63,12.2573
K2-38 b,K2-38,1,2,0,4.01593,0.05073,1.906,0.17,19.0698,0.06,Mass,,465.9,1184,0,G2 V,5757,1.38,2.24,0.28,[Fe/H],0,4.35,,1.21,2,,-35.33,11.184
K2-38 c,K2-38,1,2,0,10.56103,0.0964,2.42,0.216,9.9,0.03115,Mass,,128.3,858,0,G2 V,5757,1.1,1.07,0.28,[Fe/H],0,4.35,,0.90362,2,,-35.33,11.184
K2-39 b,K2-39,1,1,0,4.60543,0.05708,6.277,0.56,28.6047,0.09,Mass,0,1356,1670,0,,4881,2.97,0.66,0.32,[Fe/H],0.674,3.44,3.09,0.04,2.01,,24.35,10.5959
K2-4 b,K2-4,1,1,0,10.003417,0.078,2.1,0.187,5.06,0.0159,M-R relationship,0.08,15.6,563,0,,4014.73,0.57,0.64,-0.12,[Fe/H],-0.915,4.85,,2.81523,,,,14.3403
K2-42 b,K2-42,1,1,0,6.68796,0.0617,2.15,0.192,5.27,0.0166,M-R relationship,,44.1,,0,,4613,0.64,0.7,,,-0.703,4.66,,2.58259,,,,14.6336
K2-43 b,K2-43,1,2,0,3.471149,0.03784,4.51,0.402,18.5,0.0583,M-R relationship,0.07,49,939,0,,3840.6,0.54,0.57,,,-1.273,4.68,,4.39884,,,,14.8215
K2-43 c,K2-43,1,2,0,2.198884,,2.42,0.216,6.44,0.0203,M-R relationship,,,1094,0,,3840.6,0.54,0.57,,,-1.212,4.68,,4.39884,,,,14.8215
K2-44 b,K2-44,1,1,0,5.657,0.06,2.433,0.217,6.5,0.0204,M-R relationship,,646,1211,0,,5912,1.58,1.15,0,[Fe/H],0.43,4.1,,0.32177,,,47.46,12.0238
K2-45 b,K2-45,1,1,0,1.7292684,0.0224,6.71,0.599,36.4,0.114,M-R relationship,0.1,100,,0,,4103,0.45,0.5,,,-0.712,4.82,,2.12887,,,,15.3442
K2-46 b,K2-46,1,1,0,19.1541,0.13821,2.05,0.183,4.86,0.0153,M-R relationship,,119,889,0,,6256,1.29,0.96,-0.32,[Fe/H],0.413,4.2,,0.6011,,,,11.9153
K2-47 b,K2-47,1,1,0,31.6372,0.1779,1.89,0.169,4.23,0.0133,M-R relationship,,10.7,,0,,5054,0.76,0.75,-0.224,[M/H],-0.482,4.54,,2.04062,,,,13.7404
K2-48 b,K2-48,1,1,0,20.5065,0.1344,2.24,0.2,5.65,0.0178,M-R relationship,,15.3,,0,,4899,0.73,0.77,-0.19,[M/H],-0.657,4.6,,2.6926,,,,13.9677
K2-49 b,K2-49,1,1,0,2.77065,0.0309,1.93,0.172,4.38,0.0138,M-R relationship,,59,,0,,4175,0.45,0.51,,,-0.774,4.81,,2.53526,,,,15.2444
K2-5 b,K2-5,1,2,0,5.73594,0.0532,1.91,0.17,4.31,0.0136,M-R relationship,,24.1,565,0,K7.5 V,3930,0.57,0.61,-0.33,[Fe/H],-1.083,4.71,,4.4048,,,,14.339
K2-5 c,K2-5,1,2,0,10.93241,0.0818,2.26,0.202,5.73,0.018,M-R relationship,,10.2,456,0,K7.5 V,3930,0.57,0.61,-0.33,[Fe/H],-1.083,4.71,,4.4048,,,,14.339
K2-50 b,K2-50,1,2,0,8.7529,0.0705,1.59,0.142,3.15,0.00993,M-R relationship,,18.8,,0,,4326,0.55,0.61,-0.113,[M/H],-0.874,4.74,,2.55179,,,,14.2575
K2-52 b,K2-52,1,1,0,3.535055,0.054,18,1.606,45700,144,M-R relationship,,1124,2004,0,,7147,2.19,1.69,0.055,[Fe/H],0.027,3.98,,0.22,,,,15.2553
K2-53 b,K2-53,1,1,0,12.20772,0.098,2.6,0.232,7.27,0.0229,M-R relationship,,52.5,665,0,,5263,0.81,0.85,-0.037,[Fe/H],-0.579,4.55,,2.29,,,43.34,12.1478
K2-54 b,K2-54,1,1,0,9.7843,0.0671,1.15,0.103,1.6,0.00505,M-R relationship,,6.1,,0,,3798,0.38,0.42,,,-1.011,4.89,,3.36086,,,,13.9449
K2-55 b,K2-55,1,1,0,2.849258,0.03486,3.82,0.341,14,0.044,M-R relationship,0.07,115,,0,,4456,0.63,0.7,,,-0.784,4.67,,2.35056,,,3.95,13.0624
K2-57 b,K2-57,1,1,0,9.0063,0.0746,2.1,0.187,5.06,0.0159,M-R relationship,,24.1,,0,,4434,0.62,0.68,,,-0.83,4.68,,2.98676,,,,14.1038
K2-58 b,K2-58,1,3,0,7.05254,0.0692,2.68,0.239,7.65,0.0241,M-R relationship,,118,,0,,5413,0.86,0.89,0.11,[Fe/H],-0.398,4.52,,2.00934,,,6.49,12.1319
K2-58 c,K2-58,1,3,0,2.53726,0.035,1.62,0.145,3.26,0.0102,M-R relationship,,462,,0,,5413,0.86,0.89,0.11,[Fe/H],-0.412,4.52,,2.00934,,,6.49,12.1319
K2-58 d,K2-58,1,3,0,22.8827,0.1517,1.71,0.153,3.57,0.0112,M-R relationship,,24.6,,0,,5413,0.86,0.89,0.11,[Fe/H],-0.412,4.52,,2.00934,,,6.49,12.1319
K2-59 b,K2-59,1,2,0,20.6921,0.1354,2.41,0.215,6.39,0.0201,M-R relationship,,17.1,,0,,5055,0.73,0.77,,,-0.66,4.59,,4.00081,,,,13.9395
K2-59 c,K2-59,1,2,0,11.2954,0.0905,2.3,0.205,5.9,0.0186,M-R relationship,,38.3,,0,,5055,0.73,0.77,,,-0.66,4.59,,4.00081,,,,13.9395
K2-6 b,K2-6,1,1,0,30.94191,0.1898,2.5,0.223,6.8,0.0214,M-R relationship,,28.6,615,0,,5850,0.96,0.97,-0.14,[Fe/H],-0.12,4.4,,1.84715,,,7.69,12.5018
K2-60 b,K2-60,1,1,0,3.00265,0.045,7.656,0.683,135.39558,0.426,Mass,0,1212,1400,0,G4 V,5500,1.12,0.97,0.01,[Fe/H],0.282,4.07,10,0.99,2.2,,-45.48,12.6108
K2-61 b,K2-61,1,1,0,2.57302,0.0392,2.48,0.221,6.71,0.0211,M-R relationship,,1686,,0,,6293,1.36,1.21,0.17,[Fe/H],-0.015,4.25,,1.43264,,,-8.15,12.8575
K2-62 b,K2-62,1,2,0,6.67202,0.0636,2.14,0.191,5.22,0.0164,M-R relationship,,66,,0,,4880,0.73,0.77,-0.29,[Fe/H],-0.727,4.6,,3.00696,,,4.93,12.0433
K2-62 c,K2-62,1,2,0,16.1966,0.1148,2.14,0.191,5.22,0.0164,M-R relationship,,20.5,,0,,4880,0.73,0.77,-0.29,[Fe/H],-0.781,4.6,,3.00696,,,4.93,12.0433
K2-63 b,K2-63,1,2,0,20.257,0.1627,3.22,0.287,10.5,0.0329,M-R relationship,,188,,0,,6771,1.63,1.4,,,0.219,4.15,,0.71318,,,-10.84,12.7269
K2-63 c,K2-63,1,2,0,25.4556,0.189,3.9,0.348,14.5,0.0455,M-R relationship,,139,,0,,6771,1.63,1.4,,,0.219,4.15,,0.71318,,,-10.84,12.7269
