default_flag,sy_snum,sy_pnum,pl_orbper,pl_rade,pl_radj,pl_masse,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv
0,2,5,0.73654780,,,8.09479,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,0.73653900,1.910,0.170,8.08000,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,0.73654170,,,,,,,,,,,,,3.3000,,27.41
0,2,5,260.70000000,,,,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,260.98000000,,,,5317.89,0.96,0.97,0.383,[Fe/H],,4.46,,,,,
0,2,5,260.91000000,,,47.00510,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
1,2,5,259.88000000,,,,5172.00,0.94,0.91,0.350,[Fe/H],,4.43,,,1.2300,38.80,
0,2,5,261.20000000,,,,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,260.00000000,,,,5250.00,0.96,0.90,0.350,[M/H],-0.197,4.42,,1.4185,,,
0,2,5,262.00000000,,,44.81200,,,0.95,,,,,,,,,
0,1,1,899.00000000,,,,4978.00,5.20,1.70,-0.130,[Fe/H],1.176,3.16,,,1.3200,,
0,1,1,874.77400000,,,,,5.20,1.82,,,,,,,,,
1,1,1,934.30000000,,,,4938.00,5.20,1.44,,,,3.19,,,,,
1,1,3,4.21500000,,,,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,,1.9000,,
0,1,3,4.21487000,,,,5585.57,1.03,0.91,0.028,[Fe/H],,4.37,,,,,
1,1,3,38.02100000,,,,5577.00,0.96,0.94,-0.010,[Fe/H],-0.095,4.34,8.960,,1.9000,,
0,1,3,38.09570000,,,,5585.57,1.03,0.91,0.028,[Fe/H],,4.37,,,,,
